DEC_1	DEC_2	E2_1	E2_2	UNTR_1	UNTR_2
ENSMUSG00000089558	0	0	0	0	0	1
ENSMUSG00000065882	0	0	0	0	0	0
ENSMUSG00000030231	561	600	651	642	432	447
ENSMUSG00000084477	1	0	0	0	0	0
ENSMUSG00000030232	6699	6450	7379	6914	5652	6332
ENSMUSG00000079264	2	2	0	1	0	1
ENSMUSG00000080921	1	5	0	4	9	2
ENSMUSG00000041741	16	12	11	14	4	12
ENSMUSG00000030235	0	1	0	0	1	2
ENSMUSG00000030236	1	0	0	0	1	0
ENSMUSG00000084927	1	1	0	0	0	0
ENSMUSG00000088865	0	0	0	0	0	0
ENSMUSG00000030237	0	0	0	0	0	1
ENSMUSG00000041698	0	0	0	0	0	1
ENSMUSG00000087904	0	0	0	0	0	0
ENSMUSG00000079263	0	0	0	0	0	0
ENSMUSG00000089616	0	0	0	0	0	0
ENSMUSG00000079262	7	8	4	6	5	5
ENSMUSG00000092488	0	0	0	0	2	0
ENSMUSG00000092500	21	8	14	6	7	11
ENSMUSG00000063975	7	7	1	2	4	6
ENSMUSG00000088239	0	0	0	0	0	0
ENSMUSG00000041681	0	1	0	0	2	0
ENSMUSG00000041671	315	305	322	287	221	216
ENSMUSG00000030243	750	782	814	730	500	601
ENSMUSG00000030245	1554	1400	1436	1302	1240	1461
ENSMUSG00000071112	17	20	18	29	21	18
ENSMUSG00000030244	0	0	0	0	2	0
ENSMUSG00000030246	1368	1294	1226	1075	1210	1386
ENSMUSG00000030247	4	8	2	1	6	6
ENSMUSG00000030249	16	12	5	7	14	16
ENSMUSG00000041614	0	0	0	0	0	0
ENSMUSG00000030282	2332	2232	2296	2080	2178	2388
ENSMUSG00000048473	1	1	4	2	1	0
ENSMUSG00000072683	2	2	4	2	1	2
ENSMUSG00000030283	209	243	208	180	158	232
ENSMUSG00000030279	1117	1036	1314	1190	774	930
ENSMUSG00000093369	1	5	3	4	5	4
ENSMUSG00000030275	8059	7362	4961	4630	3873	4261
ENSMUSG00000072679	4	0	1	3	1	1
ENSMUSG00000077241	0	0	0	0	0	0
ENSMUSG00000084971	0	2	0	0	0	0
ENSMUSG00000086887	0	0	0	0	0	0
ENSMUSG00000041540	6	6	0	0	10	13
ENSMUSG00000087302	0	0	0	0	1	0
ENSMUSG00000087157	0	0	0	0	1	1
ENSMUSG00000093698	0	0	0	0	1	0
ENSMUSG00000072677	1	0	0	0	0	0
ENSMUSG00000085785	0	0	0	0	1	1
ENSMUSG00000086282	0	0	0	0	0	0
ENSMUSG00000086731	0	0	0	0	0	1
ENSMUSG00000087850	0	1	0	0	0	0
ENSMUSG00000030268	52	53	9	9	75	59
ENSMUSG00000088867	0	0	0	0	0	0
ENSMUSG00000091392	1	0	0	0	0	0
ENSMUSG00000086643	0	0	0	0	0	0
ENSMUSG00000030263	3380	3220	3102	2906	2206	2488
ENSMUSG00000043541	129	96	164	150	117	160
ENSMUSG00000086863	0	0	0	3	2	3
ENSMUSG00000040370	1147	1037	1247	1088	1064	1225
ENSMUSG00000030265	1485	1443	1324	1265	1047	1170
ENSMUSG00000086013	12	11	20	9	12	14
ENSMUSG00000067344	12	18	13	17	17	32
ENSMUSG00000087852	0	0	0	0	0	0
ENSMUSG00000087277	12	7	6	4	3	11
ENSMUSG00000083962	3	3	2	5	3	4
ENSMUSG00000054966	2	3	0	2	4	8
ENSMUSG00000088362	0	0	0	0	0	0
ENSMUSG00000087204	0	0	0	0	0	1
ENSMUSG00000086722	0	0	0	0	0	0
ENSMUSG00000088781	0	0	0	0	0	0
ENSMUSG00000067338	2	0	0	0	1	2
ENSMUSG00000085658	5	4	7	8	3	3
ENSMUSG00000030259	853	902	1460	1269	525	614
ENSMUSG00000045110	0	0	0	0	0	0
ENSMUSG00000030256	4369	3963	5129	4743	3763	4270
ENSMUSG00000030255	20	15	18	12	30	30
ENSMUSG00000085414	0	0	0	0	4	2
ENSMUSG00000030287	2399	2349	1973	1795	1073	1261
ENSMUSG00000090911	0	0	0	0	0	0
ENSMUSG00000082120	0	1	1	0	3	0
ENSMUSG00000040250	757	810	687	641	538	579
ENSMUSG00000040242	4327	4078	3772	3608	3091	3227
ENSMUSG00000040234	1249	1197	1231	1198	991	1080
ENSMUSG00000030291	727	690	596	564	625	704
ENSMUSG00000084291	0	0	0	0	0	0
ENSMUSG00000085238	1	1	2	3	3	3
ENSMUSG00000001630	938	920	1367	1294	716	824
ENSMUSG00000040187	37	31	53	50	33	26
ENSMUSG00000030292	0	2	0	0	1	0
ENSMUSG00000016487	2368	2308	2442	2283	1647	1719
ENSMUSG00000040163	1	0	0	1	0	0
ENSMUSG00000040121	10	4	5	1	7	5
ENSMUSG00000040112	648	661	592	551	654	660
ENSMUSG00000072662	6	1	5	4	13	7
ENSMUSG00000040102	407	385	408	402	357	402
ENSMUSG00000080760	0	1	0	0	0	0
ENSMUSG00000085600	0	0	0	0	0	1
ENSMUSG00000086021	0	0	0	0	1	0
ENSMUSG00000048776	1	2	1	4	2	1
ENSMUSG00000081023	0	0	0	0	0	0
ENSMUSG00000072660	5	6	8	3	8	9
ENSMUSG00000030301	550	520	622	559	498	592
ENSMUSG00000085077	0	0	0	0	1	0
ENSMUSG00000086019	0	0	0	0	1	0
ENSMUSG00000086777	0	0	0	0	0	0
ENSMUSG00000030303	132	110	139	134	73	80
ENSMUSG00000089948	0	3	1	3	2	0
ENSMUSG00000030304	1479	1554	1380	1354	933	1030
ENSMUSG00000084823	10	3	1	2	3	1
ENSMUSG00000030306	11	11	12	9	16	11
ENSMUSG00000082199	0	0	0	0	0	0
ENSMUSG00000063171	223	254	153	125	255	265
ENSMUSG00000070995	1	0	0	0	1	1
ENSMUSG00000065269	0	0	0	0	1	1
ENSMUSG00000084909	0	0	0	0	1	2
ENSMUSG00000081556	0	0	0	0	0	0
ENSMUSG00000040029	2195	2023	2135	2096	1476	1715
ENSMUSG00000030309	385	405	567	516	342	357
ENSMUSG00000081338	0	0	0	0	0	0
ENSMUSG00000039985	2548	2459	3292	3018	2581	2800
ENSMUSG00000085355	57	41	57	61	38	53
ENSMUSG00000092945	0	0	0	0	0	0
ENSMUSG00000080536	0	0	0	0	0	1
ENSMUSG00000030313	145	131	135	189	118	113
ENSMUSG00000072657	0	0	0	0	0	0
ENSMUSG00000082633	1	1	0	0	0	0
ENSMUSG00000081532	0	0	0	0	0	0
ENSMUSG00000065664	0	0	0	0	0	0
ENSMUSG00000082829	0	0	0	0	0	1
ENSMUSG00000065198	0	0	0	0	0	0
ENSMUSG00000067292	0	0	0	0	0	0
ENSMUSG00000039958	194	186	274	255	190	220
ENSMUSG00000056872	0	3	8	3	1	5
ENSMUSG00000068250	344	334	300	268	233	236
ENSMUSG00000032712	4991	4844	4752	4387	2850	3188
ENSMUSG00000084083	0	1	0	0	0	1
ENSMUSG00000081126	31	42	19	17	12	14
ENSMUSG00000081335	0	0	0	0	0	0
ENSMUSG00000083351	0	0	0	0	0	0
ENSMUSG00000003452	38	44	93	63	33	39
ENSMUSG00000082072	0	1	1	1	2	1
ENSMUSG00000091292	0	0	0	0	0	0
ENSMUSG00000055452	28	38	31	27	26	27
ENSMUSG00000054753	2	0	0	0	3	5
ENSMUSG00000077815	0	1	0	0	0	0
ENSMUSG00000078008	0	1	0	1	1	2
ENSMUSG00000078041	1	0	1	0	0	0
ENSMUSG00000078032	0	0	0	0	0	1
ENSMUSG00000078035	0	0	0	1	1	0
ENSMUSG00000077903	1	0	1	0	0	0
ENSMUSG00000077886	0	0	0	2	0	0
ENSMUSG00000078817	79	61	60	54	44	26
ENSMUSG00000068566	10284	10194	12629	11239	7450	8370
ENSMUSG00000078816	63	57	103	100	60	48
ENSMUSG00000069806	47	51	45	41	61	54
ENSMUSG00000053395	146	149	200	191	159	174
ENSMUSG00000078815	24	16	68	61	34	28
ENSMUSG00000053338	953	960	840	854	485	564
ENSMUSG00000078814	8	0	9	7	1	0
ENSMUSG00000054594	1	6	5	9	3	4
ENSMUSG00000035674	2898	2744	2654	2451	3378	3682
ENSMUSG00000006335	645	592	611	528	590	680
ENSMUSG00000008373	1923	1910	1762	1704	1673	1870
ENSMUSG00000085039	26	26	31	30	20	28
ENSMUSG00000035632	2425	2518	2485	2304	1888	2089
ENSMUSG00000093667	3	5	2	3	0	0
ENSMUSG00000093290	0	0	0	0	0	0
ENSMUSG00000078813	276	340	302	266	281	304
ENSMUSG00000019734	193	224	231	236	146	157
ENSMUSG00000086032	2	1	0	1	0	2
ENSMUSG00000035596	3124	2984	3015	2776	2404	2654
ENSMUSG00000035585	1587	1524	1538	1491	1569	1844
ENSMUSG00000006333	42212	39780	34511	31931	44421	50251
ENSMUSG00000058818	32454	31607	24053	22046	16448	18853
ENSMUSG00000081665	676	639	581	473	259	319
ENSMUSG00000074417	1064	1126	962	858	658	699
ENSMUSG00000074418	1	1	0	0	0	0
ENSMUSG00000080917	10	9	5	7	3	7
ENSMUSG00000074419	462	493	406	345	205	258
ENSMUSG00000089942	6420	6168	6227	5771	3790	4196
ENSMUSG00000074420	36	39	36	32	13	14
ENSMUSG00000030427	1165	1201	1185	1023	703	790
ENSMUSG00000083344	5	0	0	0	0	0
ENSMUSG00000082093	17	15	10	10	10	9
ENSMUSG00000055541	5702	5651	2654	2431	2576	2935
ENSMUSG00000086155	2	1	1	2	4	2
ENSMUSG00000075719	0	0	0	0	0	0
ENSMUSG00000030428	15	15	9	7	11	14
ENSMUSG00000047116	0	0	0	0	0	0
ENSMUSG00000085886	1	0	0	0	3	2
ENSMUSG00000035545	11436	11650	12021	11369	6442	7097
ENSMUSG00000043432	292	310	222	221	214	278
ENSMUSG00000063838	4	5	3	5	19	15
ENSMUSG00000082782	0	0	0	0	0	0
ENSMUSG00000083309	0	0	0	0	1	0
ENSMUSG00000070873	290	308	121	109	142	163
ENSMUSG00000082042	1	0	0	0	0	0
ENSMUSG00000081723	2230	2285	1177	1021	803	900
ENSMUSG00000062524	1	2	1	0	5	7
ENSMUSG00000078810	18	9	18	9	6	15
ENSMUSG00000076993	0	0	0	0	0	0
ENSMUSG00000077002	0	0	0	0	0	0
ENSMUSG00000008435	772	745	870	812	631	726
ENSMUSG00000077965	0	0	0	0	0	0
ENSMUSG00000087297	0	1	1	2	1	0
ENSMUSG00000091177	2	1	3	0	1	1
ENSMUSG00000006154	452	427	570	579	364	395
ENSMUSG00000019254	7268	6861	7057	6597	5301	5840
ENSMUSG00000064179	60	59	50	58	43	74
ENSMUSG00000035458	596	564	705	676	527	611
ENSMUSG00000055809	1031	996	1127	1082	833	953
ENSMUSG00000085725	20	17	15	11	12	12
ENSMUSG00000004961	9	9	8	6	6	5
ENSMUSG00000035429	3	8	11	7	7	6
ENSMUSG00000077129	0	1	0	0	0	0
ENSMUSG00000045282	150	128	187	178	94	114
ENSMUSG00000052296	8534	8416	8519	7973	6743	7791
ENSMUSG00000063802	1167	1009	1176	1141	1250	1495
ENSMUSG00000035390	96	94	76	81	55	47
ENSMUSG00000046456	298	287	238	214	183	192
ENSMUSG00000088575	0	1	0	0	1	2
ENSMUSG00000059851	4296	4157	5435	5108	3605	4204
ENSMUSG00000051811	36	32	34	41	46	43
ENSMUSG00000049952	0	0	0	0	0	0
ENSMUSG00000092518	0	0	0	0	0	0
ENSMUSG00000004371	1	0	2	1	1	2
ENSMUSG00000013091	2	3	2	1	1	2
ENSMUSG00000030431	57	46	47	62	49	72
ENSMUSG00000030432	15668	15761	15003	14335	17846	20737
ENSMUSG00000060860	2320	2316	2166	2004	2464	2864
ENSMUSG00000053550	0	1	0	0	0	2
ENSMUSG00000084815	0	0	0	0	0	0
ENSMUSG00000052605	407	411	359	325	393	464
ENSMUSG00000086784	1100	1060	976	845	1170	1351
ENSMUSG00000074406	623	566	548	540	505	577
ENSMUSG00000035285	28	27	42	55	28	58
ENSMUSG00000035279	90	93	33	29	54	59
ENSMUSG00000030433	120	131	128	126	108	118
ENSMUSG00000085272	0	3	5	0	5	2
ENSMUSG00000051550	347	373	469	414	344	409
ENSMUSG00000061374	1254	1280	1225	1076	1057	1323
ENSMUSG00000051184	1098	1175	1386	1260	1354	1540
ENSMUSG00000074405	1158	1060	1238	1179	830	956
ENSMUSG00000063757	16	14	18	9	13	12
ENSMUSG00000043290	127	173	143	150	133	146
ENSMUSG00000086604	2	2	1	1	2	1
ENSMUSG00000055633	51	71	62	54	72	74
ENSMUSG00000035228	25	23	31	25	32	45
ENSMUSG00000030435	6742	6722	7168	6566	5804	6560
ENSMUSG00000035203	7873	7210	6969	6346	6038	6919
ENSMUSG00000035191	0	0	0	1	1	0
ENSMUSG00000093045	0	0	0	0	0	0
ENSMUSG00000083649	13	10	13	17	7	12
ENSMUSG00000092953	0	0	0	0	0	0
ENSMUSG00000074402	0	0	0	0	0	0
ENSMUSG00000091874	0	0	1	0	0	1
ENSMUSG00000091652	0	0	0	0	0	0
ENSMUSG00000075906	0	0	0	0	0	0
ENSMUSG00000035177	2	3	2	1	0	1
ENSMUSG00000048398	0	0	0	0	0	0
ENSMUSG00000078808	145	145	95	103	96	94
ENSMUSG00000074401	0	0	0	0	0	0
ENSMUSG00000066820	0	1	0	0	2	0
ENSMUSG00000090794	0	0	0	0	0	0
ENSMUSG00000092336	0	0	0	0	0	0
ENSMUSG00000090776	0	0	0	0	0	0
ENSMUSG00000060420	0	0	0	0	0	0
ENSMUSG00000092579	0	0	0	0	0	0
ENSMUSG00000058631	0	0	0	0	1	0
ENSMUSG00000092423	0	0	0	0	0	0
ENSMUSG00000058399	0	0	0	0	0	0
ENSMUSG00000092393	0	0	0	0	0	0
ENSMUSG00000092580	0	0	0	0	0	1
ENSMUSG00000092271	0	0	0	0	1	0
ENSMUSG00000066850	22	16	6	1	9	14
ENSMUSG00000064231	0	0	0	0	0	0
ENSMUSG00000034690	2	0	0	1	2	3
ENSMUSG00000046792	951	938	942	898	839	1094
ENSMUSG00000044876	907	860	893	827	1003	1049
ENSMUSG00000034660	0	0	1	0	0	1
ENSMUSG00000090545	0	0	0	0	1	0
ENSMUSG00000058028	0	0	0	0	0	1
ENSMUSG00000053367	1	0	0	0	5	5
ENSMUSG00000054893	106	108	130	99	97	100
ENSMUSG00000030443	119	113	114	109	81	77
ENSMUSG00000091822	0	0	0	0	1	0
ENSMUSG00000093471	0	0	0	0	0	0
ENSMUSG00000055150	60	35	58	47	29	34
ENSMUSG00000062861	451	438	439	422	305	315
ENSMUSG00000093536	2	5	4	9	3	4
ENSMUSG00000089780	3	4	6	5	6	4
ENSMUSG00000090179	0	0	0	2	0	0
ENSMUSG00000045929	0	2	1	0	1	1
ENSMUSG00000090824	0	0	0	0	0	0
ENSMUSG00000048620	1	0	0	0	0	0
ENSMUSG00000054938	0	0	0	0	0	0
ENSMUSG00000066844	0	0	0	0	0	3
ENSMUSG00000034583	1	0	0	0	1	0
ENSMUSG00000066843	0	1	0	0	1	0
ENSMUSG00000084654	0	0	0	0	0	0
ENSMUSG00000048067	0	0	0	0	0	0
ENSMUSG00000056696	0	0	0	0	0	0
ENSMUSG00000002266	1	0	0	0	0	2
ENSMUSG00000002265	8	23	6	5	9	24
ENSMUSG00000092815	0	0	0	0	1	0
ENSMUSG00000092875	0	0	0	0	0	0
ENSMUSG00000051527	0	0	0	0	0	2
ENSMUSG00000070837	2	3	0	0	1	2
ENSMUSG00000062116	459	432	473	373	446	476
ENSMUSG00000063535	50	53	40	37	40	46
ENSMUSG00000034538	70	51	56	61	41	57
ENSMUSG00000066838	145	137	172	155	100	133
ENSMUSG00000074394	10	10	15	13	3	10
ENSMUSG00000000605	3202	2864	3021	2785	2110	2391
ENSMUSG00000093599	1	2	2	3	2	3
ENSMUSG00000070847	0	1	0	0	0	1
ENSMUSG00000092178	39	36	31	32	46	31
ENSMUSG00000071459	0	0	0	0	1	1
ENSMUSG00000090849	0	0	0	0	0	0
ENSMUSG00000070849	0	0	0	0	0	0
ENSMUSG00000092314	0	0	0	0	0	0
ENSMUSG00000090895	1	0	0	0	0	0
ENSMUSG00000092387	0	1	0	0	0	0
ENSMUSG00000092227	0	2	0	0	0	0
ENSMUSG00000092439	0	0	1	0	2	0
ENSMUSG00000070841	0	0	0	0	0	0
ENSMUSG00000092173	0	0	0	0	0	0
ENSMUSG00000090518	0	0	0	0	0	0
ENSMUSG00000092433	0	0	0	0	0	0
ENSMUSG00000091651	0	0	0	0	0	0
ENSMUSG00000092221	0	0	0	0	0	0
ENSMUSG00000092537	0	0	0	0	0	0
ENSMUSG00000092204	0	2	0	0	1	1
ENSMUSG00000091163	0	0	0	0	0	0
ENSMUSG00000092175	0	0	0	0	0	0
ENSMUSG00000090727	0	0	0	0	0	0
ENSMUSG00000092264	0	0	0	0	0	0
ENSMUSG00000092180	0	0	0	0	0	0
ENSMUSG00000092523	0	0	0	0	0	0
ENSMUSG00000070848	0	0	0	0	1	0
ENSMUSG00000092584	0	0	0	0	0	0
ENSMUSG00000090352	0	0	1	0	0	0
ENSMUSG00000092481	0	0	0	1	0	0
ENSMUSG00000092442	0	0	0	0	0	0
ENSMUSG00000092321	0	0	0	0	0	0
ENSMUSG00000092430	0	0	0	0	0	0
ENSMUSG00000092294	0	0	0	0	0	0
ENSMUSG00000092619	2	1	1	0	1	1
ENSMUSG00000090968	0	0	0	0	0	0
ENSMUSG00000092546	0	0	0	0	0	0
ENSMUSG00000092234	0	0	0	0	0	0
ENSMUSG00000091600	0	0	0	0	0	0
ENSMUSG00000092436	0	0	0	0	0	0
ENSMUSG00000090366	0	0	0	0	0	0
ENSMUSG00000092520	0	0	0	0	1	0
ENSMUSG00000092551	0	0	0	0	0	0
ENSMUSG00000092324	0	0	0	0	0	0
ENSMUSG00000092308	0	0	0	0	0	0
ENSMUSG00000092561	0	0	0	0	0	1
ENSMUSG00000066828	0	0	0	0	0	0
ENSMUSG00000092548	0	0	1	0	0	0
ENSMUSG00000092280	0	4	0	1	0	0
ENSMUSG00000092620	0	0	0	0	0	0
ENSMUSG00000092575	0	0	0	0	0	0
ENSMUSG00000078806	0	0	0	0	0	0
ENSMUSG00000092312	0	0	1	0	1	0
ENSMUSG00000066836	0	0	0	0	0	0
ENSMUSG00000092611	0	0	0	0	0	0
ENSMUSG00000090864	0	0	0	0	0	0
ENSMUSG00000092573	0	0	0	0	0	0
ENSMUSG00000092490	77	68	59	74	48	51
ENSMUSG00000092189	0	0	0	1	0	0
ENSMUSG00000070845	0	0	0	0	0	0
ENSMUSG00000092574	0	0	0	0	0	0
ENSMUSG00000091231	0	0	0	0	0	0
ENSMUSG00000092407	0	0	0	0	0	0
ENSMUSG00000092614	0	1	0	0	0	0
ENSMUSG00000090662	0	0	0	0	1	0
ENSMUSG00000092361	1	1	0	1	3	2
ENSMUSG00000092334	0	0	0	0	0	1
ENSMUSG00000092441	0	0	0	0	0	0
ENSMUSG00000091178	0	0	0	0	0	0
ENSMUSG00000092447	0	0	3	1	0	2
ENSMUSG00000092452	0	0	0	0	0	0
ENSMUSG00000092624	0	0	0	0	1	1
ENSMUSG00000053720	0	0	0	0	0	0
ENSMUSG00000070844	4	1	0	0	3	3
ENSMUSG00000090892	0	0	1	0	0	0
ENSMUSG00000093438	0	0	0	0	0	0
ENSMUSG00000090482	0	0	0	0	0	0
ENSMUSG00000070850	0	0	0	0	0	0
ENSMUSG00000093718	0	0	0	0	0	0
ENSMUSG00000093491	0	0	0	0	0	0
ENSMUSG00000093519	0	0	0	0	0	0
ENSMUSG00000090342	0	0	0	0	0	0
ENSMUSG00000091545	0	0	0	0	0	0
ENSMUSG00000093478	0	0	0	0	0	0
ENSMUSG00000091544	0	0	0	0	0	0
ENSMUSG00000093681	0	0	0	0	0	0
ENSMUSG00000078802	0	0	0	0	0	0
ENSMUSG00000061026	0	0	0	0	1	0
ENSMUSG00000058685	0	0	0	0	0	0
ENSMUSG00000091930	0	1	0	0	0	2
ENSMUSG00000093766	0	0	0	0	0	0
ENSMUSG00000043066	0	0	0	0	0	0
ENSMUSG00000093781	0	0	0	0	1	0
ENSMUSG00000093487	0	0	0	0	0	0
ENSMUSG00000034122	0	0	0	0	2	0
ENSMUSG00000046716	0	0	0	0	1	0
ENSMUSG00000030393	53	38	44	32	36	30
ENSMUSG00000047031	0	0	0	0	0	0
ENSMUSG00000093595	0	0	0	0	0	0
ENSMUSG00000091662	0	0	0	0	0	0
ENSMUSG00000093418	0	0	0	0	0	1
ENSMUSG00000045340	0	0	0	0	0	1
ENSMUSG00000093534	0	0	0	0	0	0
ENSMUSG00000091026	1	4	4	0	1	1
ENSMUSG00000093689	0	0	0	0	0	1
ENSMUSG00000034087	1	0	0	0	3	0
ENSMUSG00000059206	0	0	0	0	0	2
ENSMUSG00000091643	0	0	1	0	0	0
ENSMUSG00000078801	0	1	0	0	0	0
ENSMUSG00000076224	0	0	0	0	0	0
ENSMUSG00000054272	0	1	0	0	0	0
ENSMUSG00000090714	0	0	0	0	0	0
ENSMUSG00000080350	0	0	0	0	0	0
ENSMUSG00000091880	1	0	0	0	1	0
ENSMUSG00000076988	0	0	0	0	0	0
ENSMUSG00000070828	0	0	0	0	0	0
ENSMUSG00000070826	0	0	0	0	0	1
ENSMUSG00000092489	0	0	0	0	0	0
ENSMUSG00000070824	0	0	0	0	0	0
ENSMUSG00000051687	0	1	0	0	2	2
ENSMUSG00000092631	0	0	0	0	0	0
ENSMUSG00000047655	0	0	0	0	0	0
ENSMUSG00000092326	0	0	0	0	0	0
ENSMUSG00000043308	0	0	0	0	1	1
ENSMUSG00000092285	0	0	0	0	0	0
ENSMUSG00000045713	0	0	0	0	1	1
ENSMUSG00000092466	0	0	0	0	0	0
ENSMUSG00000075773	1	1	0	0	0	0
ENSMUSG00000092208	1	0	0	0	1	0
ENSMUSG00000092398	0	1	0	0	0	0
ENSMUSG00000092318	0	0	0	0	0	0
ENSMUSG00000091201	0	0	0	0	1	0
ENSMUSG00000066807	6	5	1	1	1	1
ENSMUSG00000092535	0	0	0	0	0	0
ENSMUSG00000092350	0	0	0	0	0	0
ENSMUSG00000092248	0	0	0	0	0	0
ENSMUSG00000061602	0	0	0	0	0	0
ENSMUSG00000046443	0	0	0	0	0	1
ENSMUSG00000057161	0	0	0	0	1	0
ENSMUSG00000092351	0	0	0	0	0	0
ENSMUSG00000092476	0	0	0	0	0	0
ENSMUSG00000066805	0	0	0	0	0	0
ENSMUSG00000058132	0	0	0	0	1	0
ENSMUSG00000066804	0	1	0	0	0	0
ENSMUSG00000077138	0	0	0	0	0	0
ENSMUSG00000066803	0	1	0	0	0	0
ENSMUSG00000092331	0	0	0	0	0	0
ENSMUSG00000092610	0	0	0	0	0	0
ENSMUSG00000092359	0	0	0	0	0	0
ENSMUSG00000034071	28	34	31	40	13	21
ENSMUSG00000092583	0	1	0	0	1	0
ENSMUSG00000030386	454	446	466	411	387	387
ENSMUSG00000030385	0	0	0	0	0	0
ENSMUSG00000081550	0	0	0	0	0	0
ENSMUSG00000091797	1	1	0	0	2	2
ENSMUSG00000082872	0	0	0	0	0	0
ENSMUSG00000053088	1	0	0	0	0	0
ENSMUSG00000091045	0	0	0	0	1	0
ENSMUSG00000090762	0	0	0	0	2	1
ENSMUSG00000070822	38	32	42	38	35	29
ENSMUSG00000057894	627	653	771	700	392	375
ENSMUSG00000058638	2081	1986	1902	1802	1415	1674
ENSMUSG00000060397	225	251	237	232	176	195
ENSMUSG00000054715	441	451	411	381	310	324
ENSMUSG00000012848	19258	18420	18969	17608	23160	25688
ENSMUSG00000033967	9	13	8	10	7	7
ENSMUSG00000065006	0	0	0	0	0	0
ENSMUSG00000091727	16	5	7	8	10	9
ENSMUSG00000004500	334	305	264	238	251	272
ENSMUSG00000033961	179	173	199	147	164	181
ENSMUSG00000030382	5	6	5	3	7	7
ENSMUSG00000049600	676	678	720	695	603	776
ENSMUSG00000005566	5071	4859	5408	4933	5115	5801
ENSMUSG00000033916	5573	5598	4670	4351	5310	5813
ENSMUSG00000005575	3623	3544	3760	3375	3697	4224
ENSMUSG00000030380	35	35	26	35	29	40
ENSMUSG00000070817	0	0	0	0	0	1
ENSMUSG00000070816	0	0	0	0	1	0
ENSMUSG00000070815	0	0	1	0	0	0
ENSMUSG00000090814	0	0	0	0	0	1
ENSMUSG00000048261	0	0	0	0	0	0
ENSMUSG00000050453	0	0	0	0	1	0
ENSMUSG00000092427	0	0	0	0	0	0
ENSMUSG00000070814	252	257	235	240	169	190
ENSMUSG00000056394	935	883	967	901	736	830
ENSMUSG00000033847	33	40	20	22	11	20
ENSMUSG00000074547	2	1	1	2	7	3
ENSMUSG00000087915	0	0	0	0	0	0
ENSMUSG00000088361	0	0	0	0	1	0
ENSMUSG00000005649	2	0	0	1	1	0
ENSMUSG00000074378	0	0	0	0	0	0
ENSMUSG00000078800	0	0	0	0	0	0
ENSMUSG00000078799	0	0	0	0	0	0
ENSMUSG00000082586	0	0	0	0	1	0
ENSMUSG00000070811	0	0	0	0	0	0
ENSMUSG00000078798	0	0	0	0	0	0
ENSMUSG00000081982	0	0	0	0	0	0
ENSMUSG00000074377	0	0	0	0	0	0
ENSMUSG00000074375	0	0	1	0	1	1
ENSMUSG00000084102	0	0	0	0	0	0
ENSMUSG00000080705	0	0	0	0	0	0
ENSMUSG00000070810	0	0	0	0	1	0
ENSMUSG00000030378	0	1	0	0	0	0
ENSMUSG00000041596	6	6	1	1	2	5
ENSMUSG00000093773	0	0	0	0	0	0
ENSMUSG00000055942	0	0	0	0	1	0
ENSMUSG00000093665	0	0	0	1	1	0
ENSMUSG00000093549	0	0	0	0	1	0
ENSMUSG00000093664	0	0	0	0	0	1
ENSMUSG00000064977	0	0	0	0	0	0
ENSMUSG00000093584	0	0	0	0	0	0
ENSMUSG00000093736	1	0	0	0	0	0
ENSMUSG00000093389	0	1	0	0	0	0
ENSMUSG00000075887	1	0	0	0	0	0
ENSMUSG00000093509	0	0	0	0	0	0
ENSMUSG00000093567	0	0	0	0	0	0
ENSMUSG00000093707	0	0	0	0	0	0
ENSMUSG00000093770	0	0	0	0	0	0
ENSMUSG00000093630	0	0	0	0	0	0
ENSMUSG00000093742	0	0	0	0	0	0
ENSMUSG00000093613	0	0	0	0	0	0
ENSMUSG00000093623	0	0	0	0	0	0
ENSMUSG00000093494	0	0	0	0	0	0
ENSMUSG00000093723	0	0	0	0	0	0
ENSMUSG00000093415	0	0	0	0	0	0
ENSMUSG00000093532	0	0	0	0	0	0
ENSMUSG00000093591	0	0	0	0	0	0
ENSMUSG00000093527	0	0	0	0	0	0
ENSMUSG00000093612	0	0	0	0	0	0
ENSMUSG00000093636	0	0	0	0	0	0
ENSMUSG00000093464	0	0	0	0	0	0
ENSMUSG00000093727	0	0	0	0	0	0
ENSMUSG00000093377	2	1	0	0	0	0
ENSMUSG00000093554	1	0	0	0	2	1
ENSMUSG00000074369	0	1	0	0	0	1
ENSMUSG00000093643	0	0	0	0	0	0
ENSMUSG00000093435	0	0	0	0	0	0
ENSMUSG00000093397	0	0	0	0	2	1
ENSMUSG00000066772	0	0	0	0	4	1
ENSMUSG00000093421	0	0	0	0	0	0
ENSMUSG00000093719	0	0	0	0	0	1
ENSMUSG00000054310	0	0	0	0	0	1
ENSMUSG00000093513	0	0	0	0	1	0
ENSMUSG00000075966	0	0	0	0	0	0
ENSMUSG00000093420	0	1	0	0	0	0
ENSMUSG00000075896	0	0	0	0	0	0
ENSMUSG00000093683	0	1	0	0	0	0
ENSMUSG00000074366	2	0	0	0	1	0
ENSMUSG00000092576	0	0	0	0	1	0
ENSMUSG00000041583	0	0	1	0	1	0
ENSMUSG00000093678	0	0	0	0	3	2
ENSMUSG00000041578	0	0	0	0	3	1
ENSMUSG00000074365	10	19	11	15	24	29
ENSMUSG00000041571	4080	4074	2587	2448	3651	4084
ENSMUSG00000041560	5947	5891	5913	5530	6256	7212
