	1	2
chr10_66501212_66502489	22	33
chr10_67598912_67600046	23	42
chr10_74441265_74442452	20	18
chr10_74869018_74870500	23	30
chr10_75119096_75120402	8	9
chr10_75179734_75180828	11	12
chr10_75175519_75176878	12	16
chr10_75171695_75172862	17	23
chr10_75842280_75843542	15	16
chr10_75898648_75899858	18	28
chr10_76575621_76577199	71	79
chr10_76727825_76729112	17	20
chr10_77126289_77127732	20	31
chr10_77443835_77445008	7	12
chr10_77445005_77446426	11	17
chr10_77457540_77458613	14	9
chr10_78051201_78052903	23	41
chr10_79074480_79076433	62	114
chr10_79137495_79139294	41	30
chr10_79240258_79242295	79	99
chr10_79327265_79330778	82	120
chr10_79353658_79355021	41	67
chr10_79358789_79360344	48	87
chr10_79376136_79378127	69	91
chr10_79392826_79394344	43	52
chr10_79435018_79436616	25	41
chr10_79437929_79441358	97	141
chr10_79440812_79442741	91	119
chr10_79590448_79591884	29	26
chr10_79595496_79596717	36	74
chr10_79599332_79600627	35	77
chr10_79596453_79597753	39	59
chr10_79703142_79704719	27	31
chr10_79716973_79718471	62	71
chr10_79741223_79742628	30	31
chr10_79783767_79785451	67	110
chr10_79843347_79844701	23	39
chr10_79844159_79845745	38	65
chr10_79857262_79858660	58	71
chr10_79879304_79880821	30	47
chr10_79882861_79884472	34	35
chr10_80004888_80006187	28	38
chr10_80008698_80009996	22	30
chr10_80107014_80108003	16	30
chr10_80101752_80103745	42	51
chr10_80105142_80107379	37	52
chr10_80128221_80130472	108	142
chr10_80131898_80133484	28	49
chr10_80136279_80137686	80	84
chr10_80240429_80241591	10	13
chr10_80250899_80252049	15	13
chr10_80252932_80256687	137	201
chr10_80326081_80328889	45	71
chr10_80324372_80325572	9	15
chr10_80328738_80330138	16	21
chr10_80358776_80361470	89	112
chr10_80352422_80353717	27	34
chr10_80398129_80399661	64	98
chr10_80508510_80509711	7	33
chr10_80513241_80514412	11	17
chr10_80605575_80608489	118	152
chr10_80611887_80613501	30	49
chr10_80610154_80612126	29	51
chr10_80704285_80705537	28	25
chr10_80701794_80703648	48	78
chr10_80733281_80734816	20	28
chr10_80753103_80754539	84	119
chr10_80774781_80777305	76	90
chr10_80794559_80796330	46	72
chr10_80917474_80919199	28	60
chr10_80955036_80956624	26	35
chr10_81049113_81050459	42	65
chr10_81056419_81057617	64	78
chr10_81097052_81098348	46	58
chr10_81084735_81086080	42	66
chr10_83086474_83087517	5	10
chr10_84306383_84307561	18	10
chr10_84627319_84628387	18	15
chr10_88348270_88349726	22	26
chr10_93308470_93309788	30	48
chr10_93774204_93775433	14	11
chr10_120073867_120074969	11	11
chr10_126714718_126716001	15	25
chr10_126722192_126723701	60	87
chr10_126767923_126769274	26	45
chr10_127003186_127004311	9	12
chr10_127030167_127031548	20	30
chr10_127923919_127925070	21	32
chr10_127924607_127925929	37	31
chr11_98565756_98567471	33	54
chr11_60522440_60524637	23	44
chr11_61357139_61358463	32	49
chr11_68369071_68370558	12	21
chr11_69778981_69780082	32	57
chr11_72301790_72303350	48	74
chr11_76249899_76251430	30	35
chr11_77282184_77283628	33	38
chr11_77872011_77873168	10	10
chr11_78020029_78021334	20	26
chr11_82280343_82281463	11	9
chr11_84770800_84772410	32	37
chr11_100121527_100122902	25	33
chr11_113589408_113591335	43	65
chr11_115178834_115180851	52	68
chr11_115915738_115917011	18	21
chr11_116554696_116556217	45	51
chr11_117980114_117981591	11	13
chr11_118372854_118375541	69	89
chr11_119880634_119882146	36	48
chr11_3401565_3403540	46	64
chr11_3429170_3430626	33	34
chr11_4387966_4389091	16	24
chr11_5004490_5006267	53	65
chr11_5051295_5052539	22	46
chr11_5162643_5163916	63	63
chr11_6296702_6298002	31	26
chr11_6493096_6494846	19	40
chr11_22411877_22412970	9	21
chr11_24063593_24065317	41	62
chr11_32109111_32111482	46	53
chr11_34107135_34108649	11	11
chr11_35442813_35443789	8	16
chr11_35513261_35514391	18	28
chr11_35610466_35612119	29	23
chr11_43588863_43590292	19	27
chr11_45979103_45980428	25	39
chr11_46124714_46126087	20	46
chr11_48176400_48177565	10	7
chr11_50552707_50553631	6	20
chr11_51224026_51225455	23	24
chr11_52216263_52217388	26	35
chr11_53291182_53292688	39	39
chr11_54090405_54091387	13	8
chr11_54600103_54601234	17	17
chr11_55048573_55049774	11	23
chr11_55154969_55156269	25	29
chr11_58453512_58455059	22	30
chr11_58889302_58891101	14	18
chr11_58947596_58948886	23	22
chr11_59550284_59551494	11	11
chr11_59579648_59580797	12	16
chr11_60310491_60311793	28	39
chr11_60534460_60535785	15	19
chr11_61155543_61156648	24	28
chr11_65000025_65001606	11	11
chr11_66706281_66707611	9	16
chr11_67177807_67179155	13	15
chr11_68186133_68187374	15	22
chr11_68198473_68199836	35	59
chr11_68346607_68347766	10	25
chr11_68635486_68636529	17	19
chr11_68969924_68971305	40	56
chr11_69122437_69123567	8	13
chr11_69127810_69129062	18	25
chr11_69590936_69592994	60	67
chr11_69639769_69640994	9	5
chr11_70539053_70540350	6	12
chr11_72774343_72775879	40	57
chr11_74670420_74672072	40	52
chr11_74681658_74683082	14	33
chr11_75076133_75077758	35	51
chr11_75077860_75080208	39	79
chr11_75262093_75263534	21	28
chr11_75258386_75259941	16	23
chr11_75338981_75340244	18	16
chr11_76161383_76162626	27	25
chr11_77312595_77314005	65	87
chr11_77319322_77321398	63	74
chr11_77661145_77662426	42	67
chr11_77663627_77665143	68	72
chr11_77789492_77791058	28	34
chr11_77847018_77848461	54	59
chr11_77870277_77872067	26	31
chr11_77966968_77969254	31	53
chr11_77972739_77974334	53	71
chr11_78340742_78342261	15	17
chr11_78860163_78861567	20	34
chr11_78857953_78859246	13	22
chr11_78872744_78874045	9	10
chr11_78925579_78926871	20	23
chr11_79620027_79621264	12	15
chr11_80285197_80286351	32	28
chr11_82256236_82257472	5	6
chr11_82257474_82258915	12	22
chr11_82380217_82381478	10	22
chr11_84391923_84393248	18	13
chr11_84636023_84637387	21	36
chr11_84714022_84715177	9	19
chr11_86940531_86941662	9	12
chr11_87982679_87983751	31	31
chr11_89252597_89254008	8	11
chr11_94323004_94324221	15	23
chr11_94504208_94505297	10	13
chr11_94527025_94528192	12	14
chr11_94880792_94881974	17	42
chr11_95003873_95005144	30	71
chr11_95492297_95493478	16	32
chr11_95506187_95507316	57	73
chr11_96106878_96107957	10	13
chr11_96628805_96630205	48	69
chr11_96882282_96883563	45	62
chr11_96920715_96922184	30	25
chr11_97090067_97091111	8	8
chr11_97534615_97535767	30	35
chr11_97537761_97539227	49	78
chr11_97752851_97753779	4	6
chr11_97863707_97865235	66	85
chr11_98235401_98237404	70	81
chr11_98247524_98248808	30	29
chr11_98296493_98298035	12	19
chr11_99211715_99213009	10	18
chr11_99231905_99233153	12	20
chr11_99282806_99284061	18	14
chr11_99353777_99354828	10	10
chr11_99441608_99442632	4	6
chr11_99854526_99855735	6	11
chr11_99846581_99848254	6	14
chr11_100053788_100055101	12	23
chr11_100282480_100283634	34	40
chr11_100427637_100428858	29	36
chr11_100569250_100570953	50	84
chr11_101782536_101783611	14	32
chr11_101874201_101875178	6	10
chr11_102258813_102260093	39	53
chr11_102644010_102645708	32	53
chr11_102640732_102641833	34	79
chr11_102757525_102758994	25	28
chr11_103099777_103100954	11	21
chr11_103200708_103202326	71	103
chr11_103488372_103489545	17	18
chr11_103572743_103574236	43	49
chr11_103672128_103673371	60	86
chr11_103733839_103734965	16	17
chr11_104171081_104172329	20	23
chr11_104504525_104505831	15	15
chr11_105210516_105211818	15	43
chr11_105201972_105203159	10	12
chr11_106907770_106908904	20	22
chr11_108802545_108804270	28	35
chr11_113152998_113154068	6	6
chr11_113718618_113719617	6	7
chr11_113733660_113734817	9	25
chr11_115144106_115145473	22	31
chr11_115254317_115256270	43	49
chr11_115308551_115310072	24	27
chr11_115330215_115331425	15	21
chr11_115438704_115440056	17	15
chr11_115652599_115654641	26	34
chr11_115710206_115713013	27	34
chr11_115925401_115926668	31	36
chr11_115922368_115923719	28	45
chr11_115940371_115941526	63	78
chr11_116090229_116091645	33	41
chr11_116098599_116100304	45	49
chr11_116143813_116145519	43	61
chr11_116157406_116158744	19	35
chr11_116192409_116194457	76	132
chr11_116398783_116401317	73	92
chr11_116401965_116403566	19	23
chr11_116466777_116467898	17	20
chr11_116457713_116459524	21	28
chr11_116470988_116472319	20	23
chr11_116700630_116701680	39	42
chr11_117004530_117005826	27	27
chr11_117621249_117622877	45	48
chr11_117629803_117631600	20	32
chr11_117666747_117667998	17	25
chr11_117913205_117914706	21	26
chr11_117924708_117926156	23	29
chr11_117949177_117950279	6	13
chr11_117985041_117986186	8	13
chr11_118194219_118195565	13	14
chr11_118398120_118399507	21	33
chr11_118437668_118439358	20	13
chr11_118833509_118834996	48	53
chr11_118995401_118996768	32	30
chr11_119103900_119105211	15	26
chr11_119103036_119104471	14	29
chr11_119141988_119143172	20	21
chr11_119134548_119135933	15	28
chr11_119135533_119137047	15	31
chr11_119297448_119298715	8	12
chr11_119779372_119780787	25	19
chr11_119794057_119795328	49	55
chr11_119801053_119802251	37	88
chr11_119931159_119932736	39	38
chr11_119956278_119957737	25	25
chr11_120076531_120078030	39	40
chr11_120135518_120137173	25	40
chr11_120132288_120135342	100	95
chr11_120143967_120145157	23	34
chr11_120144757_120147356	38	79
chr11_120243156_120244367	13	12
chr11_120319161_120320197	13	13
chr11_120469318_120470849	63	77
chr11_120677649_120679083	18	26
chr11_120674555_120675726	9	15
chr11_120818647_120820232	38	58
chr11_121017460_121018889	24	22
chr11_121021470_121023189	17	33
chr11_121405862_121406757	22	18
chr11_121691004_121692205	10	11
chr12_5143961_5145082	12	20
chr12_74562671_74563702	28	36
chr12_77708981_77710166	7	14
chr12_82099223_82100615	22	8
chr12_83525631_83526815	10	14
chr12_88620136_88621636	45	70
chr12_110787411_110788613	12	24
chr12_111557599_111558832	4	9
chr12_112508698_112510717	49	62
chr12_113031954_113033396	17	26
chr12_114146628_114147928	9	12
chr12_117603783_117604768	3	8
chr12_4713920_4715026	12	15
chr12_4744351_4745700	9	18
chr12_4856687_4858044	44	42
chr12_8304273_8305354	16	26
chr12_8331531_8333316	20	41
chr12_16708654_16709900	7	6
chr12_16702599_16703993	13	19
chr12_16759625_16760800	40	39
chr12_29292076_29293211	21	21
chr12_30787521_30788788	11	9
chr12_40860107_40861190	7	12
chr12_41570507_41571650	10	15
chr12_55169223_55170548	6	10
chr12_70781224_70782524	26	26
chr12_73404392_73405739	9	18
chr12_75098580_75099650	19	19
chr12_77672876_77674166	21	18
chr12_77706751_77707967	16	17
chr12_77698931_77700224	30	30
chr12_77709606_77710858	11	14
chr12_78618393_78619405	7	12
chr12_81330633_81331673	31	37
chr12_81439937_81441500	22	18
chr12_82205146_82206305	17	6
chr12_84891846_84893174	17	19
chr12_85103968_85105510	39	47
chr12_85115057_85116324	15	24
chr12_86101214_86102266	21	10
chr12_86970301_86971559	15	15
chr12_87532604_87533798	10	23
chr12_88302617_88303724	15	15
chr12_99926378_99928056	36	47
chr12_102115620_102116691	17	23
chr12_102182648_102184481	29	29
chr12_103550899_103551983	7	2
chr12_105830586_105832395	28	36
chr12_106705648_106707025	22	30
chr12_107465187_107466366	23	49
chr12_109153119_109155901	27	28
chr12_109202495_109203711	12	21
chr12_109203447_109204667	22	30
chr12_109448597_109450056	48	67
chr12_109556128_109557499	28	38
chr12_110105417_110106602	5	10
chr12_110235666_110237015	10	24
chr12_110271643_110273110	11	9
chr12_110277385_110278847	22	31
chr12_110335983_110337146	6	10
chr12_110655132_110656467	25	27
chr12_110847897_110848924	10	11
chr12_110987613_110988745	19	33
chr12_111320550_111322014	8	19
chr12_111501077_111502331	9	12
chr12_111903031_111904408	15	26
chr12_112214461_112216047	42	51
chr12_112530959_112533104	10	15
chr12_112562305_112563545	8	13
chr12_112576769_112578098	32	30
chr12_112682908_112684259	39	46
chr12_113416765_113418050	40	23
chr12_113839141_113840382	21	17
chr12_113900161_113901071	8	16
chr12_113894304_113896231	21	40
chr12_113967883_113970005	43	37
chr12_113972813_113975410	45	51
chr12_114035511_114037036	38	54
chr12_114154138_114155757	33	19
chr12_114153002_114154183	19	25
chr12_114151121_114153515	33	70
chr12_114157761_114159550	32	54
chr12_114326200_114327308	57	44
chr12_114369338_114370573	7	8
chr12_114365094_114366680	14	37
chr12_114513660_114514814	6	7
chr12_114634655_114635791	8	8
chr13_45661734_45663083	7	10
chr13_55999366_56000717	35	43
chr13_9169589_9170598	5	12
chr13_14283823_14284856	6	9
chr13_19710657_19711810	15	12
chr13_26860830_26862200	9	9
chr13_29049769_29050816	0	11
chr13_31038761_31039968	10	23
chr13_38577180_38578195	8	3
chr13_43295171_43297135	16	23
chr13_45662601_45663927	12	15
chr13_48907766_48908935	14	36
chr13_49145670_49147379	13	24
chr13_49137553_49138828	9	12
chr13_49156106_49157278	7	8
chr13_51337328_51338450	5	2
chr13_51820151_51821275	23	42
chr13_52732953_52734166	10	11
chr13_53339163_53340309	10	16
chr13_54699605_54701137	12	30
chr13_54782342_54784291	45	69
chr13_55256935_55258224	29	35
chr13_55515759_55517071	21	29
chr13_55582796_55584113	36	47
chr13_55577039_55578374	27	26
chr13_55643628_55644724	13	10
chr13_55640368_55641583	22	22
chr13_55651133_55652172	25	32
chr13_55926091_55927457	34	51
chr13_56126008_56127161	10	13
chr13_56166929_56168358	19	18
chr13_56710385_56711675	18	22
chr13_58008560_58009951	26	38
chr13_63612602_63613757	11	17
chr13_63673264_63674477	40	39
chr13_73958184_73959246	6	8
chr13_92900659_92902425	7	22
chr13_96105482_96106846	20	21
chr13_97240493_97241635	14	13
chr13_99997900_99999850	26	30
chr13_113623196_113624201	9	11
chr14_71040930_71042648	73	120
chr14_31997531_31998844	7	15
chr14_34701275_34702314	7	7
chr14_58309696_58310977	16	17
chr14_12985985_12987168	12	12
chr14_21065560_21066893	14	19
chr14_21540036_21541265	12	20
chr14_22722279_22723781	16	17
chr14_24995119_24996391	23	14
chr14_26123331_26124850	40	60
chr14_26372603_26373767	15	16
chr14_26404746_26405984	62	82
chr14_26453070_26454405	58	85
chr14_26470701_26471924	15	16
chr14_26553725_26555034	47	120
chr14_27307198_27308215	27	36
chr14_29335314_29336443	9	19
chr14_31235940_31237294	15	7
chr14_31953940_31955446	16	14
chr14_32100283_32101433	8	3
chr14_32123591_32124686	4	12
chr14_32219098_32220348	26	22
chr14_33231626_33232642	8	15
chr14_33472641_33474409	17	29
chr14_34002136_34003237	15	15
chr14_34175025_34176344	33	55
chr14_34964834_34966210	42	60
chr14_35007175_35009243	37	43
chr14_35368099_35369213	22	22
chr14_35364890_35365986	14	24
chr14_35693411_35694514	34	56
chr14_35751046_35752247	10	22
chr14_37870019_37871239	16	16
chr14_47992979_47994314	37	58
chr14_48875297_48876750	14	26
chr14_52054236_52055353	9	8
chr14_52623887_52624987	55	67
chr14_55086237_55087967	50	60
chr14_55097795_55099110	33	42
chr14_55329868_55331271	40	37
chr14_55535418_55536711	9	15
chr14_55691711_55693780	67	106
chr14_56214796_56215973	39	49
chr14_56242614_56243727	20	22
chr14_56323880_56325270	11	24
chr14_57021025_57022197	8	12
chr14_58160684_58161858	25	40
chr14_58317823_58319855	31	42
chr14_58583845_58584812	6	8
chr14_60185204_60186261	5	6
chr14_61929422_61930575	22	36
chr14_63205773_63206876	10	18
chr14_63643960_63645210	7	3
chr14_64640376_64641745	11	13
chr14_65205713_65206971	19	30
chr14_65671874_65673236	29	43
chr14_66014139_66015533	9	21
chr14_66348921_66350512	16	26
chr14_66927207_66928530	13	5
chr14_70889510_70890608	5	16
chr14_77573931_77574995	4	4
chr15_77594093_77595367	26	38
chr15_7765012_7766322	35	49
chr15_31226406_31228148	39	58
chr15_76002171_76013301	196	269
chr15_75938209_75940577	12	21
chr15_76740887_76742798	38	36
chr15_77609913_77611386	19	27
chr15_78822973_78824241	18	22
chr15_79199650_79201559	32	35
chr15_79658105_79660046	56	72
chr15_83196686_83198066	11	13
chr15_85097670_85099062	19	25
chr15_92945840_92946844	24	24
chr15_98679934_98681858	69	62
chr15_101268761_101269932	14	29
chr15_101940855_101942863	39	55
chr15_7412179_7413228	17	12
chr15_8178273_8179321	11	23
chr15_12314671_12315975	11	22
chr15_25294069_25295289	9	24
chr15_25643161_25644501	23	27
chr15_25737098_25738193	16	27
chr15_25783788_25784934	26	24
chr15_27677067_27678420	21	18
chr15_27703214_27704324	12	6
chr15_27760490_27761623	14	17
chr15_35228975_35230822	71	100
chr15_44945282_44946787	16	23
chr15_54578991_54580003	9	18
chr15_55043342_55044439	4	11
chr15_73503259_73504506	13	32
chr15_73812254_73813420	24	23
chr15_74407028_74408457	39	53
chr15_75541484_75544453	34	59
chr15_75540361_75541819	16	34
chr15_75804438_75806357	30	49
chr15_75827525_75829597	85	104
chr15_75831903_75835528	98	140
chr15_75864703_75866067	25	27
chr15_75887287_75888913	12	18
chr15_75878208_75879475	25	32
chr15_76000864_76002307	14	23
chr15_76012976_76015053	31	54
chr15_76015407_76017810	43	75
chr15_76018618_76020205	53	79
chr15_76114030_76115553	28	55
chr15_76124205_76126130	68	77
chr15_76258010_76259359	28	42
chr15_76276517_76277599	16	18
chr15_76293694_76294763	38	56
chr15_76423250_76426552	40	41
chr15_76520349_76522093	16	31
chr15_76542950_76544687	27	50
chr15_76535631_76537466	34	35
chr15_76566454_76568160	15	21
chr15_76826034_76827067	11	4
chr15_77595671_77596972	19	17
chr15_77825092_77826326	11	9
chr15_77995935_77997778	8	22
chr15_78270234_78271539	39	53
chr15_78369271_78371304	21	36
chr15_78584283_78585469	14	15
chr15_78748102_78749354	43	43
chr15_78797573_78799403	20	29
chr15_78833482_78834869	33	40
chr15_78834270_78836033	34	35
chr15_78981027_78982781	25	46
chr15_78994022_78995281	38	53
chr15_78989134_78990450	29	37
chr15_79083578_79084760	24	40
chr15_79081896_79083113	28	39
chr15_79192154_79193839	44	50
chr15_79250374_79251783	18	22
chr15_79978079_79979148	25	36
chr15_79993390_79994544	24	36
chr15_79990043_79991445	39	51
chr15_80197058_80198074	11	14
chr15_80185515_80186958	9	5
chr15_80224866_80226740	26	17
chr15_80217700_80218847	3	9
chr15_80706356_80707453	25	20
chr15_80846230_80848187	30	43
chr15_81524922_81526109	32	41
chr15_81514694_81516335	18	24
chr15_81612769_81614248	21	15
chr15_81669725_81671018	19	28
chr15_81742095_81743325	37	42
chr15_82011932_82013269	6	9
chr15_82037190_82038798	29	44
chr15_82184405_82185450	11	20
chr15_82205713_82206813	13	22
chr15_82748641_82750068	40	46
chr15_82782132_82783508	53	80
chr15_82947057_82948799	27	31
chr15_83136208_83137392	58	79
chr15_83154302_83155483	6	10
chr15_83481471_83482941	10	11
chr15_83507932_83509159	31	43
chr15_84040035_84042250	39	64
chr15_84162066_84163358	17	18
chr15_84780468_84782068	14	14
chr15_84782694_84784756	11	34
chr15_84790417_84791751	23	38
chr15_85369639_85371114	12	25
chr15_85808553_85809918	16	27
chr15_85954863_85956235	31	36
chr15_86018855_86019884	39	56
chr15_88430284_88432086	6	10
chr15_88812684_88814015	13	15
chr15_88985600_88986946	34	38
chr15_89119622_89120843	8	13
chr15_89130254_89131566	15	15
chr15_89132769_89134021	9	12
chr15_89214697_89217045	42	63
chr15_89387867_89389272	44	51
chr15_95201167_95202175	5	7
chr15_96118499_96119558	6	9
chr15_97630788_97632136	37	60
chr15_98620960_98621996	50	59
chr15_98679210_98680445	26	27
chr15_98686022_98687122	36	40
chr15_99071815_99073526	12	17
chr15_99261795_99263178	32	23
chr15_99255551_99259155	70	85
chr15_99547490_99548729	30	44
chr15_100883967_100885500	11	21
chr15_101194159_101195354	20	33
chr15_101242107_101243610	21	43
chr15_101362331_101363519	6	5
chr15_101616244_101617370	7	15
chr15_101769611_101771201	24	21
chr15_101945676_101947088	21	26
chr15_102331148_102332538	30	39
chr15_102540941_102542283	18	17
chr16_11517655_11519037	4	5
chr16_30260201_30261397	8	19
chr16_32832608_32833692	14	12
chr16_85802054_85803257	16	29
chr16_3935211_3936525	6	17
chr16_4083832_4086347	38	56
chr16_4550890_4551833	24	36
chr16_4647869_4650453	45	58
chr16_4922858_4923960	11	12
chr16_5101978_5103078	9	8
chr16_5165172_5166521	8	13
chr16_5178115_5179414	2	3
chr16_5198218_5199333	10	10
chr16_5240786_5241932	6	12
chr16_8311758_8312736	8	3
chr16_8737341_8738431	8	16
chr16_9051166_9052249	10	12
chr16_9991789_9993047	29	67
chr16_10319719_10320986	31	29
chr16_10741356_10742703	30	24
chr16_10787968_10789236	51	61
chr16_10785280_10786536	24	17
chr16_13147237_13148720	11	23
chr16_16225531_16226793	14	17
chr16_17527791_17529523	49	75
chr16_17842232_17843273	9	15
chr16_18150776_18152767	63	83
chr16_18144042_18145177	27	43
chr16_18226813_18228769	39	42
chr16_18219515_18220836	53	71
chr16_18776321_18778423	31	34
chr16_20311979_20313062	35	30
chr16_20530466_20532175	14	30
chr16_21339232_21340537	51	62
chr16_21513370_21514517	10	8
chr16_22053051_22054234	12	10
chr16_22656217_22657556	23	22
chr16_23240160_23241409	26	34
chr16_23927053_23928132	9	11
chr16_29680248_29681644	32	42
chr16_30308025_30309156	19	21
chr16_32678965_32681726	55	90
chr16_33576159_33577756	38	27
chr16_35660031_35661195	6	13
chr16_36721715_36723007	22	28
chr16_42291424_42292688	18	23
chr16_44499112_44500145	10	12
chr16_90011473_90012711	20	23
chr16_90229655_90230826	13	14
chr16_90781841_90783004	10	7
chr16_91828074_91829100	17	20
chr16_92605446_92607106	12	23
chr16_93765830_93767118	19	39
chr16_94466865_94468134	12	12
chr16_94488924_94490392	22	25
chr16_96032028_96032948	2	10
chr16_96501875_96503079	39	54
chr16_98037968_98039099	7	8
chr17_24640740_24643340	36	72
chr17_26083055_26084516	23	34
chr17_26343834_26345703	51	65
chr17_46792071_46793397	39	65
chr17_10582700_10584216	22	38
chr17_24476733_24477844	10	11
chr17_24837244_24838667	16	14
chr17_24869823_24871215	18	26
chr17_25247168_25248281	15	17
chr17_26099395_26100893	25	25
chr17_27097627_27099466	33	45
chr17_29458417_29460175	58	76
chr17_30342604_30344761	31	35
chr17_32258439_32260228	45	68
chr17_34174580_34177641	69	98
chr17_34749786_34752454	53	77
chr17_34979316_34980334	13	7
chr17_5341250_5343027	11	19
chr17_5906113_5907121	13	13
chr17_7385583_7386709	35	41
chr17_12880278_12881489	9	10
chr17_12934398_12935790	7	24
chr17_14035584_14036963	21	21
chr17_14332411_14334705	29	40
chr17_14508934_14510067	10	16
chr17_15294365_15295472	12	18
chr17_15360520_15361450	7	6
chr17_17986594_17987976	14	19
chr17_23381741_23382889	2	2
chr17_23694076_23695590	42	57
chr17_23712466_23714411	27	51
chr17_23801967_23803584	64	83
chr17_23869046_23870131	17	37
chr17_23874100_23875546	39	66
chr17_24129465_24130593	40	48
chr17_24583637_24584767	15	16
chr17_24581031_24582950	22	33
chr17_24632821_24634249	17	19
chr17_24642935_24645010	47	90
chr17_24731011_24732875	48	59
chr17_24816155_24817842	14	30
chr17_24993152_24994323	21	16
chr17_25118781_25120532	10	14
chr17_25243253_25244688	17	15
chr17_25346233_25347228	8	11
chr17_25380039_25385153	66	102
chr17_25384591_25385881	18	28
chr17_25521979_25523406	13	27
chr17_25511217_25512321	11	19
chr17_25529846_25531298	10	24
chr17_25608213_25609641	35	63
chr17_25866867_25868417	18	17
chr17_25859108_25860852	42	75
chr17_25928541_25929861	25	45
chr17_25977954_25979370	20	32
chr17_26014309_26016503	80	112
chr17_26068585_26069702	7	7
chr17_26073357_26074482	12	13
chr17_26092628_26094259	19	16
chr17_26100627_26102897	31	25
chr17_26349776_26351337	12	23
chr17_26351392_26352561	8	15
chr17_26416471_26417517	7	16
chr17_26568394_26569752	21	33
chr17_26626711_26627745	8	8
chr17_27103229_27104570	23	20
chr17_27247704_27249394	19	23
chr17_27297531_27298564	17	18
chr17_27333321_27334679	39	52
chr17_27502539_27503677	6	11
chr17_27571061_27573089	24	23
chr17_27582072_27583403	18	14
chr17_27641812_27643486	43	83
chr17_27731902_27733041	29	23
chr17_28243817_28245194	45	55
chr17_28257001_28258258	21	36
chr17_28331298_28332812	13	29
chr17_28434677_28436534	28	35
chr17_28967728_28968888	12	14
chr17_29505760_29506907	29	38
chr17_29538460_29539785	49	62
chr17_29552484_29553859	57	68
chr17_29723329_29724631	20	32
chr17_29741090_29742569	26	34
chr17_29853329_29854447	26	26
chr17_31200807_31202049	11	33
chr17_31244418_31245822	16	15
chr17_31432901_31434216	32	46
chr17_31591935_31593044	14	12
chr17_31634274_31636229	32	29
chr17_31982788_31984066	22	41
