	seqnames	start	end	width	strand	name	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
X0027.ENSMUSG00000025958	chr1	64579001	64580599	1599	*	36	0027	ENSMUSG00000025958	64579378	64579594	+	includeFeature	422	377	NearestLocation
X0028.ENSMUSG00000025946	chr1	65443201	65445599	2399	*	61	0028	ENSMUSG00000025946	65328630	65328797	+	downstream	115770	114404	NearestLocation
X0029.ENSMUSG00000026196	chr1	70972601	70973399	799	*	27	0029	ENSMUSG00000026196	71149242	71149720	-	downstream	176720	175843	NearestLocation
X0030.ENSMUSG00000026193	chr1	71844601	71845799	1199	*	40	0030	ENSMUSG00000026193	71699406	71699746	-	upstream	-145454	144855	NearestLocation
X0031.ENSMUSG00000039395	chr1	72290401	72290799	399	*	36	0031	ENSMUSG00000039395	72258591	72258881	-	upstream	-31719	31520	NearestLocation
X0032.ENSMUSG00000039354	chr1	72625201	72625999	799	*	34	0032	ENSMUSG00000039354	72630189	72630311	+	upstream	-4589	4190	NearestLocation
X0033.ENSMUSG00000026185	chr1	72896601	72897799	1199	*	35	0033	ENSMUSG00000026185	72920380	72921458	-	downstream	24258	22581	NearestLocation
X0034.ENSMUSG00000055322	chr1	73993601	73996199	2599	*	59	0034	ENSMUSG00000055322	74170866	74171021	-	downstream	176121	174667	NearestLocation
X0035.ENSMUSG00000026176	chr1	74433601	74435199	1599	*	40	0035	ENSMUSG00000026176	74438083	74438538	+	upstream	-3683	2884	NearestLocation
X0036.ENSMUSG00000026174	chr1	74551401	74553999	2599	*	56	0036	ENSMUSG00000026174	74552632	74553035	+	includeFeature	68	964	NearestLocation
X0037.ENSMUSG00000033227	chr1	74820401	74821999	1599	*	34	0037	ENSMUSG00000033227	74818466	74818796	+	downstream	2734	1605	NearestLocation
X0038.ENSMUSG00000090071	chr1	74870601	74871399	799	*	32	0038	ENSMUSG00000090071	74901508	74904005	+	upstream	-30508	30109	NearestLocation
X0039.ENSMUSG00000026208	chr1	75340201	75341999	1799	*	49	0039	ENSMUSG00000026208	75356904	75357567	+	upstream	-15804	14905	NearestLocation
X0040.ENSMUSG00000026207	chr1	75372801	75376599	3799	*	77	0040	ENSMUSG00000026207	75378713	75378749	+	upstream	-4013	2114	NearestLocation
X0041.ENSMUSG00000033007	chr1	75441201	75444799	3599	*	108	0041	ENSMUSG00000033007	75447011	75447988	+	upstream	-4011	2212	NearestLocation
X0042.ENSMUSG00000033007	chr1	75449401	75451599	2199	*	49	0042	ENSMUSG00000033007	75447011	75447988	+	downstream	3489	1413	NearestLocation
X0043.ENSMUSG00000032908	chr1	78346601	78347199	599	*	29	0043	ENSMUSG00000032908	78306921	78307077	+	downstream	39979	39524	NearestLocation
X0044.ENSMUSG00000026249	chr1	79861401	79861799	399	*	24	0044	ENSMUSG00000026249	79855086	79855271	-	upstream	-6329	6130	NearestLocation
X0045.ENSMUSG00000026234	chr1	88253201	88256399	3199	*	65	0045	ENSMUSG00000026234	88255781	88256030	-	includeFeature	1230	369	NearestLocation
X0046.ENSMUSG00000026238	chr1	88397201	88400599	3399	*	86	0046	ENSMUSG00000026238	88423311	88423525	+	upstream	-24411	22712	NearestLocation
X0047.ENSMUSG00000026238	chr1	88401401	88402799	1399	*	56	0047	ENSMUSG00000026238	88423311	88423525	+	upstream	-21211	20512	NearestLocation
X0048.ENSMUSG00000026238	chr1	88405001	88408399	3399	*	120	0048	ENSMUSG00000026238	88423311	88423525	+	upstream	-16611	14912	NearestLocation
X0049.ENSMUSG00000026241	chr1	88579001	88579399	399	*	35	0049	ENSMUSG00000026241	88566924	88567147	-	upstream	-12053	11854	NearestLocation
X0050.ENSMUSG00000053333	chr1	88636201	88637399	1199	*	36	0050	ENSMUSG00000053333	88600379	88600446	+	downstream	36421	35755	NearestLocation
X0051.ENSMUSG00000079429	chr1	90124601	90129599	4999	*	209	0051	ENSMUSG00000079429	90123595	90123803	+	downstream	3505	798	NearestLocation
X0052.ENSMUSG00000044783	chr1	90162201	90164599	2399	*	79	0052	ENSMUSG00000044783	90173949	90174089	-	downstream	10689	9350	NearestLocation
X0053.ENSMUSG00000049866	chr1	90565401	90566999	1599	*	38	0053	ENSMUSG00000049866	90597205	90598451	-	downstream	32251	30206	NearestLocation
X0054.ENSMUSG00000049866	chr1	90596201	90596999	799	*	27	0054	ENSMUSG00000049866	90597205	90598451	-	downstream	1851	206	NearestLocation
X0055.ENSMUSG00000036206	chr1	90972001	90972999	999	*	40	0055	ENSMUSG00000036206	90966990	90967172	+	downstream	5510	4829	NearestLocation
X0056.ENSMUSG00000067081	chr1	91921601	91922799	1199	*	31	0056	ENSMUSG00000067081	91910948	91911152	-	upstream	-11048	10449	NearestLocation
X0057.ENSMUSG00000067071	chr1	93310001	93311199	1199	*	39	0057	ENSMUSG00000067071	93309634	93309799	-	upstream	-801	202	NearestLocation
X0058.ENSMUSG00000034292	chr1	93390601	93392399	1799	*	66	0058	ENSMUSG00000034292	93391245	93391465	+	includeFeature	255	644	NearestLocation
X0059.ENSMUSG00000034220	chr1	94727401	94727799	399	*	21	0059	ENSMUSG00000034220	94728222	94728674	+	upstream	-622	423	NearestLocation
X0060.ENSMUSG00000026336	chr1	100681801	100682199	399	*	28	0060	ENSMUSG00000026336	100317704	100318074	+	downstream	364296	363727	NearestLocation
X0061.ENSMUSG00000067028	chr1	101389201	101389799	599	*	31	0061	ENSMUSG00000067028	101669342	101669423	+	upstream	-279842	279543	NearestLocation
X0062.ENSMUSG00000067001	chr1	109300401	109300999	599	*	25	0062	ENSMUSG00000067001	109296232	109296301	+	downstream	4468	4100	NearestLocation
X0063.ENSMUSG00000038702	chr1	114530601	114531799	1199	*	41	0063	ENSMUSG00000038702	113760672	113761486	-	upstream	-769714	769115	NearestLocation
X0064.ENSMUSG00000026374	chr1	119097801	119100399	2599	*	59	0064	ENSMUSG00000026374	120207578	120207709	-	downstream	1108609	1107179	NearestLocation
X0065.ENSMUSG00000050777	chr1	121968801	121969199	399	*	20	0065	ENSMUSG00000050777	121970289	121970651	-	downstream	1651	1090	NearestLocation
X0066.ENSMUSG00000026390	chr1	122323401	122323999	599	*	31	0066	ENSMUSG00000026390	122401246	122401661	-	downstream	77961	77247	NearestLocation
X0067.ENSMUSG00000026341	chr1	127331401	127331999	599	*	31	0067	ENSMUSG00000026341	127331862	127332067	-	overlapEnd	367	68	NearestLocation
X0068.ENSMUSG00000049690	chr1	128379401	128379999	599	*	30	0068	ENSMUSG00000049690	128389125	128389504	-	downstream	9804	9126	NearestLocation
X0069.ENSMUSG00000049690	chr1	128610801	128611399	599	*	41	0069	ENSMUSG00000049690	128389125	128389504	-	upstream	-221596	221297	NearestLocation
X0070.ENSMUSG00000036104	chr1	129825001	129825599	599	*	49	0070	ENSMUSG00000036104	129765350	129765406	+	downstream	59950	59595	NearestLocation
X0071.ENSMUSG00000036086	chr1	129917801	129919199	1399	*	38	0071	ENSMUSG00000036086	129998830	129999039	-	downstream	80539	79631	NearestLocation
X0072.ENSMUSG00000026401	chr1	132117601	132118199	599	*	37	0072	ENSMUSG00000026401	132319468	132319586	-	downstream	201686	201269	NearestLocation
X0073.ENSMUSG00000059149	chr1	133940001	133940999	999	*	41	0073	ENSMUSG00000059149	133964240	133964639	-	downstream	24139	23241	NearestLocation
X0074.ENSMUSG00000090553	chr1	135505001	135506799	1799	*	43	0074	ENSMUSG00000090553	135506295	135506624	-	includeFeature	724	175	NearestLocation
X0075.ENSMUSG00000026452	chr1	136566601	136568199	1599	*	43	0075	ENSMUSG00000026452	136605877	136606001	+	upstream	-38477	37678	NearestLocation
X0076.ENSMUSG00000041879	chr1	137323801	137324399	599	*	26	0076	ENSMUSG00000041879	137326845	137327035	-	downstream	2935	2446	NearestLocation
X0077.ENSMUSG00000041879	chr1	137326601	137326999	399	*	22	0077	ENSMUSG00000041879	137326845	137327035	-	overlapEnd	235	36	NearestLocation
X0078.ENSMUSG00000041605	chr1	138126201	138129999	3799	*	82	0078	ENSMUSG00000041605	138130480	138130696	-	downstream	2596	481	NearestLocation
X0079.ENSMUSG00000041483	chr1	138615601	138616599	999	*	25	0079	ENSMUSG00000041483	138521478	138521628	+	downstream	94622	93973	NearestLocation
X0080.ENSMUSG00000026398	chr1	139219801	139221799	1999	*	48	0080	ENSMUSG00000026398	138850071	138850207	-	upstream	-370593	369594	NearestLocation
X0081.ENSMUSG00000051079	chr1	145963801	145964399	599	*	29	0081	ENSMUSG00000051079	146024391	146024502	-	downstream	60402	59992	NearestLocation
X0082.ENSMUSG00000066842	chr1	152976601	152976799	199	*	17	0082	ENSMUSG00000066842	152839914	152840181	-	upstream	-136519	136420	NearestLocation
X0083.ENSMUSG00000042772	chr1	154748601	154750399	1799	*	80	0083	ENSMUSG00000042772	154749639	154749776	-	includeFeature	276	623	NearestLocation
X0084.ENSMUSG00000026479	chr1	154935201	154936599	1399	*	45	0084	ENSMUSG00000026479	155033384	155033577	-	downstream	97677	96785	NearestLocation
X0085.ENSMUSG00000066797	chr1	156034801	156035999	1199	*	44	0085	ENSMUSG00000066797	156051227	156052804	+	upstream	-15827	15228	NearestLocation
X0086.ENSMUSG00000056708	chr1	156899601	156903999	4399	*	103	0086	ENSMUSG00000056708	156943497	156946766	-	downstream	44966	39498	NearestLocation
X0087.ENSMUSG00000060519	chr1	158603001	158603999	999	*	38	0087	ENSMUSG00000060519	158604217	158604487	-	downstream	987	218	NearestLocation
X0088.ENSMUSG00000033557	chr1	158704401	158705199	799	*	31	0088	ENSMUSG00000033557	158648997	158649132	-	upstream	-55668	55269	NearestLocation
X0089.ENSMUSG00000026594	chr1	158824801	158827599	2799	*	53	0089	ENSMUSG00000026594	158869483	158869518	-	downstream	43318	41884	NearestLocation
X0090.ENSMUSG00000026721	chr1	162281401	162282199	799	*	30	0090	ENSMUSG00000026721	162281352	162281702	-	overlapStart	-98	49	NearestLocation
X0091.ENSMUSG00000040297	chr1	163807601	163809199	1599	*	63	0091	ENSMUSG00000040297	163806442	163806792	-	upstream	-1608	809	NearestLocation
X0092.ENSMUSG00000040124	chr1	165333401	165334199	799	*	34	0092	ENSMUSG00000040124	165333654	165333772	-	includeFeature	-28	253	NearestLocation
X0093.ENSMUSG00000040113	chr1	165587601	165587999	399	*	22	0093	ENSMUSG00000040113	165655033	165655363	-	downstream	67563	67034	NearestLocation
X0094.ENSMUSG00000026575	chr1	166258801	166260199	1399	*	66	0094	ENSMUSG00000026575	166243010	166243069	+	downstream	16490	15732	NearestLocation
X0095.ENSMUSG00000026575	chr1	166306601	166308999	2399	*	89	0095	ENSMUSG00000026575	166243010	166243069	+	downstream	64790	63532	NearestLocation
X0096.ENSMUSG00000026576	chr1	166499801	166500199	399	*	22	0096	ENSMUSG00000026576	166387892	166388486	-	upstream	-111514	111315	NearestLocation
X0097.ENSMUSG00000040836	chr1	167245601	167246399	799	*	35	0097	ENSMUSG00000040836	167232756	167232940	+	downstream	13244	12661	NearestLocation
X0098.ENSMUSG00000005763	chr1	167769001	167769799	799	*	31	0098	ENSMUSG00000005763	167718896	167719017	+	downstream	50504	49984	NearestLocation
X0099.ENSMUSG00000052534	chr1	170288801	170289399	599	*	23	0099	ENSMUSG00000052534	170139482	170139728	-	upstream	-149372	149073	NearestLocation
X0100.ENSMUSG00000070532	chr1	171786201	171788199	1999	*	36	0100	ENSMUSG00000070532	171858779	171859134	+	upstream	-71579	70580	NearestLocation
X0101.ENSMUSG00000013973	chr1	173257601	173260399	2799	*	83	0101	ENSMUSG00000013973	173259276	173259657	+	includeFeature	-276	742	NearestLocation
X0102.ENSMUSG00000013997	chr1	173275801	173278599	2799	*	75	0102	ENSMUSG00000013997	173275699	173275759	-	upstream	-1441	42	Overlapping
X0102.ENSMUSG00000006412	chr1	173275801	173278599	2799	*	75	0102	ENSMUSG00000006412	173275801	173275917	+	includeFeature	1399	0	NearestLocation
X0103.ENSMUSG00000004709	chr1	173497601	173500399	2799	*	66	0103	ENSMUSG00000004709	173489324	173489516	+	downstream	9676	8085	NearestLocation
X0104.ENSMUSG00000013698	chr1	174134801	174137399	2599	*	72	0104	ENSMUSG00000013698	174136728	174136935	-	includeFeature	835	464	NearestLocation
X0105.ENSMUSG00000039748	chr1	177763801	177765399	1599	*	43	0105	ENSMUSG00000039748	177810909	177810987	+	upstream	-46309	45510	NearestLocation
X0106.ENSMUSG00000039630	chr1	180267001	180268399	1399	*	57	0106	ENSMUSG00000039630	180267084	180267859	-	includeFeature	159	83	NearestLocation
X0107.ENSMUSG00000026519	chr1	182896401	182897399	999	*	30	0107	ENSMUSG00000026519	182872589	182872690	+	downstream	24311	23711	NearestLocation
X0108.ENSMUSG00000044854	chr1	186071601	186072999	1399	*	46	0108	ENSMUSG00000044854	185856911	185857453	-	upstream	-214847	214148	NearestLocation
X0109.ENSMUSG00000026614	chr1	187509401	187510199	799	*	31	0109	ENSMUSG00000026614	187278727	187279558	+	downstream	231073	229843	NearestLocation
X0110.ENSMUSG00000026614	chr1	187544401	187544999	599	*	31	0110	ENSMUSG00000026614	187278727	187279558	+	downstream	265973	264843	NearestLocation
X0111.ENSMUSG00000039239	chr1	188221401	188221799	399	*	32	0111	ENSMUSG00000039239	188458129	188458148	-	downstream	236548	236330	NearestLocation
X0112.ENSMUSG00000001305	chr1	188543401	188544599	1199	*	32	0112	ENSMUSG00000001305	188573043	188573237	-	downstream	29237	28444	NearestLocation
X0113.ENSMUSG00000026628	chr1	193009401	193011999	2599	*	41	0113	ENSMUSG00000026628	193006972	193007219	-	upstream	-3481	2182	NearestLocation
X0114.ENSMUSG00000058248	chr1	194011601	194012999	1399	*	37	0114	ENSMUSG00000058248	194014666	194014968	+	upstream	-2366	1667	NearestLocation
X0115.ENSMUSG00000058248	chr1	194128201	194130199	1999	*	54	0115	ENSMUSG00000058248	194014666	194014968	+	downstream	114534	113233	NearestLocation
X0116.ENSMUSG00000016179	chr1	195532801	195533599	799	*	47	0116	ENSMUSG00000016179	195196369	195196436	-	upstream	-336764	336365	NearestLocation
X0117.ENSMUSG00000016179	chr1	195859401	195860799	1399	*	39	0117	ENSMUSG00000016179	195196369	195196436	-	upstream	-663664	662965	NearestLocation
X0118.ENSMUSG00000026655	chr2	3556201	3556799	599	*	26	0118	ENSMUSG00000026655	3630750	3630908	+	upstream	-74250	73951	NearestLocation
X0119.ENSMUSG00000026668	chr2	4891801	4893399	1599	*	38	0119	ENSMUSG00000026668	4897168	4897355	+	upstream	-4568	3769	NearestLocation
X0120.ENSMUSG00000043241	chr2	5871601	5873399	1799	*	51	0120	ENSMUSG00000043241	5872515	5872599	+	includeFeature	-15	800	NearestLocation
X0121.ENSMUSG00000062319	chr2	6922601	6922999	399	*	27	0121	ENSMUSG00000062319	6871499	6872726	-	upstream	-50074	49875	NearestLocation
X0122.ENSMUSG00000015619	chr2	9614201	9615599	1399	*	32	0122	ENSMUSG00000015619	9800032	9800227	-	downstream	185327	184433	NearestLocation
X0123.ENSMUSG00000075532	chr2	10578001	10578199	199	*	17	0123	ENSMUSG00000075532	10636794	10636835	+	upstream	-58694	58595	NearestLocation
X0124.ENSMUSG00000049630	chr2	13040401	13040999	599	*	30	0124	ENSMUSG00000049630	12931887	12933374	-	upstream	-107326	107027	NearestLocation
X0125.ENSMUSG00000063275	chr2	13961401	13963599	2199	*	49	0125	ENSMUSG00000063275	13977358	13977647	-	downstream	15147	13759	NearestLocation
X0126.ENSMUSG00000026718	chr2	13994801	13996599	1799	*	44	0126	ENSMUSG00000026718	13995727	13995963	+	includeFeature	-27	636	NearestLocation
X0127.ENSMUSG00000026743	chr2	17978801	17979599	799	*	36	0127	ENSMUSG00000026743	17976898	17976998	+	downstream	2302	1803	NearestLocation
X0128.ENSMUSG00000026736	chr2	19010601	19010799	199	*	19	0128	ENSMUSG00000026736	18919970	18921428	+	downstream	90730	89173	NearestLocation
X0129.ENSMUSG00000036591	chr2	20863201	20864799	1599	*	36	0129	ENSMUSG00000036591	20804827	20804856	-	upstream	-59144	58345	NearestLocation
X0130.ENSMUSG00000026979	chr2	24210001	24210799	799	*	35	0130	ENSMUSG00000026979	24223130	24223322	+	upstream	-12730	12331	NearestLocation
X0131.ENSMUSG00000004113	chr2	24690201	24691199	999	*	34	0131	ENSMUSG00000004113	24618284	24618672	-	upstream	-72028	71529	NearestLocation
X0132.ENSMUSG00000015092	chr2	25412401	25413999	1599	*	47	0132	ENSMUSG00000015092	25413367	25413549	+	includeFeature	-167	450	NearestLocation
X0133.ENSMUSG00000058740	chr2	25747401	25747999	599	*	28	0133	ENSMUSG00000058740	25719374	25719582	+	downstream	28326	27819	NearestLocation
X0134.ENSMUSG00000014852	chr2	26836801	26838199	1399	*	39	0134	ENSMUSG00000014852	26828936	26829173	+	downstream	8564	7628	NearestLocation
X0135.ENSMUSG00000009614	chr2	27179201	27180599	1399	*	50	0135	ENSMUSG00000009614	27102173	27102786	-	upstream	-77114	76415	NearestLocation
X0136.ENSMUSG00000026918	chr2	27307201	27308599	1399	*	40	0136	ENSMUSG00000026918	27330662	27330918	-	downstream	23018	22063	NearestLocation
X0137.ENSMUSG00000026833	chr2	28145601	28147399	1799	*	41	0137	ENSMUSG00000026833	28048512	28048982	+	downstream	97988	96619	NearestLocation
X0138.ENSMUSG00000026803	chr2	28931001	28932599	1599	*	56	0138	ENSMUSG00000026803	28915782	28915823	+	downstream	16018	15178	NearestLocation
X0139.ENSMUSG00000079496	chr2	29539001	29540399	1399	*	39	0139	ENSMUSG00000079496	29603547	29603563	-	downstream	63863	63148	NearestLocation
X0140.ENSMUSG00000015335	chr2	29947801	29948799	999	*	35	0140	ENSMUSG00000015335	29949009	29949168	-	downstream	868	210	NearestLocation
X0141.ENSMUSG00000089762	chr2	30374401	30376199	1799	*	55	0141	ENSMUSG00000089762	30328168	30329719	-	upstream	-45581	44682	NearestLocation
X0142.ENSMUSG00000044320	chr2	30563601	30564799	1199	*	34	0142	ENSMUSG00000044320	30656660	30657227	-	downstream	93027	91861	NearestLocation
X0143.ENSMUSG00000044320	chr2	30572401	30572799	399	*	24	0143	ENSMUSG00000044320	30656660	30657227	-	downstream	84627	83861	NearestLocation
X0144.ENSMUSG00000044320	chr2	30574801	30576399	1599	*	60	0144	ENSMUSG00000044320	30656660	30657227	-	downstream	81627	80261	NearestLocation
X0145.ENSMUSG00000001864	chr2	31813801	31814999	1199	*	38	0145	ENSMUSG00000001864	31805780	31805901	+	downstream	8620	7900	NearestLocation
X0146.ENSMUSG00000050592	chr2	31943001	31944199	1199	*	31	0146	ENSMUSG00000050592	31939726	31940189	-	upstream	-3411	2812	NearestLocation
X0147.ENSMUSG00000039262	chr2	32006001	32006599	599	*	30	0147	ENSMUSG00000039262	32006602	32006811	+	upstream	-302	3	NearestLocation
X0148.ENSMUSG00000044627	chr2	32142801	32143399	599	*	48	0148	ENSMUSG00000044627	32143406	32143595	-	downstream	495	7	Overlapping
X0148.ENSMUSG00000002546	chr2	32142801	32143399	599	*	48	0148	ENSMUSG00000002546	32142904	32142990	+	includeFeature	196	103	NearestLocation
X0149.ENSMUSG00000026817	chr2	32485201	32486399	1199	*	40	0149	ENSMUSG00000026817	32477278	32477397	+	downstream	8522	7804	NearestLocation
X0150.ENSMUSG00000026796	chr2	32734801	32735799	999	*	32	0150	ENSMUSG00000026796	32731634	32731924	+	downstream	3666	2877	NearestLocation
X0151.ENSMUSG00000068966	chr2	33294601	33296199	1599	*	50	0151	ENSMUSG00000068966	33286751	33286844	-	upstream	-8556	7757	NearestLocation
X0152.ENSMUSG00000038740	chr2	33859801	33861799	1999	*	51	0152	ENSMUSG00000038740	33742840	33743466	-	upstream	-117334	116335	NearestLocation
X0153.ENSMUSG00000038740	chr2	33891801	33892799	999	*	39	0153	ENSMUSG00000038740	33742840	33743466	-	upstream	-148834	148335	NearestLocation
X0154.ENSMUSG00000026864	chr2	34610001	34610399	399	*	37	0154	ENSMUSG00000026864	34627612	34627666	+	upstream	-17412	17213	NearestLocation
X0155.ENSMUSG00000026883	chr2	35533601	35535199	1599	*	42	0155	ENSMUSG00000026883	35477501	35477803	+	downstream	56899	55798	NearestLocation
X0156.ENSMUSG00000035403	chr2	37627401	37627799	399	*	23	0156	ENSMUSG00000035403	37631769	37631966	+	upstream	-4169	3970	NearestLocation
X0157.ENSMUSG00000026753	chr2	39079601	39080599	999	*	32	0157	ENSMUSG00000026753	39081687	39081971	-	downstream	1871	1088	NearestLocation
X0158.ENSMUSG00000052155	chr2	47593201	47593799	599	*	25	0158	ENSMUSG00000052155	48669629	48670346	+	upstream	-1076129	1075830	NearestLocation
X0159.ENSMUSG00000056115	chr2	51302201	51302799	599	*	27	0159	ENSMUSG00000056115	51483031	51483927	+	upstream	-180531	180232	NearestLocation
X0160.ENSMUSG00000055371	chr2	52626001	52628399	2399	*	65	0160	ENSMUSG00000055371	52601095	52601224	-	upstream	-25976	24777	NearestLocation
X0161.ENSMUSG00000026971	chr2	60537801	60537999	199	*	17	0161	ENSMUSG00000026971	60511459	60511768	-	upstream	-26132	26033	NearestLocation
X0162.ENSMUSG00000026970	chr2	60725001	60725199	199	*	19	0162	ENSMUSG00000026970	60800748	60801249	-	downstream	76149	75549	NearestLocation
X0163.ENSMUSG00000061171	chr2	65218001	65218199	199	*	23	0163	ENSMUSG00000061171	65199384	65199458	-	upstream	-18642	18543	NearestLocation
X0164.ENSMUSG00000044647	chr2	65789601	65790999	1399	*	46	0164	ENSMUSG00000044647	65683912	65683941	+	downstream	106388	105660	NearestLocation
X0165.ENSMUSG00000027068	chr2	69301401	69301799	399	*	22	0165	ENSMUSG00000027068	69218502	69218688	+	downstream	83098	82713	NearestLocation
X0166.ENSMUSG00000042133	chr2	69587001	69588599	1599	*	70	0166	ENSMUSG00000042133	69560862	69561014	+	downstream	26938	25987	NearestLocation
X0167.ENSMUSG00000064263	chr2	71583001	71585199	2199	*	69	0167	ENSMUSG00000064263	71557474	71557565	+	downstream	26626	25436	NearestLocation
X0168.ENSMUSG00000049044	chr2	71775401	71776199	799	*	29	0168	ENSMUSG00000049044	71819272	71819408	+	upstream	-43472	43073	NearestLocation
X0169.ENSMUSG00000055612	chr2	72392401	72392999	599	*	33	0169	ENSMUSG00000055612	72314216	72314368	+	downstream	78484	78033	NearestLocation
X0170.ENSMUSG00000027109	chr2	72816601	72818599	1999	*	46	0170	ENSMUSG00000027109	72818307	72818503	-	includeFeature	903	96	NearestLocation
X0171.ENSMUSG00000079286	chr2	72891601	72892599	999	*	38	0171	ENSMUSG00000079286	72824758	72824773	-	upstream	-67327	66828	NearestLocation
X0172.ENSMUSG00000008226	chr2	73131601	73131799	199	*	17	0172	ENSMUSG00000008226	73150658	73150770	+	upstream	-18958	18859	NearestLocation
X0173.ENSMUSG00000041762	chr2	73286401	73288399	1999	*	41	0173	ENSMUSG00000041762	73224322	73224629	-	upstream	-62771	61772	NearestLocation
X0174.ENSMUSG00000059005	chr2	75367601	75369399	1799	*	45	0174	ENSMUSG00000059005	75497318	75497446	+	upstream	-128818	127919	NearestLocation
X0175.ENSMUSG00000059005	chr2	75496401	75498599	2199	*	42	0175	ENSMUSG00000059005	75497318	75497446	+	includeFeature	182	917	NearestLocation
X0176.ENSMUSG00000027016	chr2	77415401	77415999	599	*	26	0176	ENSMUSG00000027016	77357485	77357675	-	upstream	-58025	57726	NearestLocation
X0177.ENSMUSG00000034101	chr2	84489601	84491399	1799	*	66	0177	ENSMUSG00000034101	84490478	84490902	-	includeFeature	402	497	NearestLocation
X0178.ENSMUSG00000034059	chr2	84582601	84584799	2199	*	115	0178	ENSMUSG00000034059	84574215	84574450	+	downstream	9485	8151	NearestLocation
