	seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
X0036.ENSMUSG00000042414	chr1	13116273	13116884	612	*	0036	ENSMUSG00000042414	13117191	13117244	-	downstream	666	307	NearestLocation
X0037.ENSMUSG00000079671	chr1	9639241	9639684	444	*	0037	ENSMUSG00000079671	9621142	9621173	-	upstream	-18289	18068	NearestLocation
X0038.ENSMUSG00000055980	chr1	82283400	82284119	720	*	0038	ENSMUSG00000055980	82283352	82287991	-	inside	4231	48	NearestLocation
X0039.ENSMUSG00000006403	chr1	173180826	173181603	778	*	0039	ENSMUSG00000006403	173180552	173181600	+	overlapEnd	662	3	NearestLocation
X0040.ENSMUSG00000062209	chr1	69423583	69424171	589	*	0040	ENSMUSG00000062209	69154249	69154330	-	upstream	-269547	269253	NearestLocation
X0041.ENSMUSG00000038026	chr1	174247377	174248829	1453	*	0041	ENSMUSG00000038026	174259266	174259394	-	downstream	11291	10437	NearestLocation
X0042.ENSMUSG00000034220	chr1	94754316	94755691	1376	*	0042	ENSMUSG00000034220	94728222	94728674	+	downstream	26782	25642	NearestLocation
X0043.ENSMUSG00000079617	chr1	34248956	34249435	480	*	0043	ENSMUSG00000079617	34460284	34460294	-	downstream	211098	210849	NearestLocation
X0044.ENSMUSG00000037447	chr1	36355840	36356523	684	*	0044	ENSMUSG00000037447	36364599	36364681	+	upstream	-8417	8076	NearestLocation
X0045.ENSMUSG00000049515	chr1	93218219	93219296	1078	*	0045	ENSMUSG00000049515	93218652	93219003	+	includeFeature	106	293	NearestLocation
X0046.ENSMUSG00000026494	chr1	180844774	180845763	990	*	0046	ENSMUSG00000026494	180459256	180459756	+	downstream	386012	385018	NearestLocation
X0047.ENSMUSG00000033557	chr1	158678463	158678927	465	*	0047	ENSMUSG00000033557	158648997	158649132	-	upstream	-29563	29331	NearestLocation
X0048.ENSMUSG00000038026	chr1	174255678	174256742	1065	*	0048	ENSMUSG00000038026	174259266	174259394	-	downstream	3184	2524	NearestLocation
X0049.ENSMUSG00000070732	chr1	93041414	93042033	620	*	0049	ENSMUSG00000070732	93041680	93041746	+	includeFeature	44	266	NearestLocation
X0050.ENSMUSG00000039224	chr1	188791694	188792210	517	*	0050	ENSMUSG00000039224	188791295	188794506	+	inside	657	399	NearestLocation
X0051.ENSMUSG00000048402	chr1	121085985	121086693	709	*	0051	ENSMUSG00000048402	120949879	120949916	-	upstream	-136423	136069	NearestLocation
X0052.ENSMUSG00000084989	chr1	95089425	95090007	583	*	0052	ENSMUSG00000084989	95112476	95112713	+	upstream	-22760	22469	NearestLocation
X0053.ENSMUSG00000069085	chr1	63660858	63661369	512	*	0053	ENSMUSG00000069085	63733329	63733501	-	downstream	72387	71960	NearestLocation
X0054.ENSMUSG00000007805	chr1	93696830	93697630	801	*	0054	ENSMUSG00000007805	93698038	93698726	+	upstream	-808	408	NearestLocation
X0055.ENSMUSG00000055322	chr1	74020498	74020995	498	*	0055	ENSMUSG00000055322	74170866	74171021	-	downstream	150275	149871	NearestLocation
X0056.ENSMUSG00000026413	chr1	137786074	137786721	648	*	0056	ENSMUSG00000026413	137815388	137815784	-	downstream	29386	28667	NearestLocation
X0057.ENSMUSG00000045216	chr1	36160302	36161298	997	*	0057	ENSMUSG00000045216	36125245	36126029	+	downstream	35555	34273	NearestLocation
X0058.ENSMUSG00000067071	chr1	93320007	93320936	930	*	0058	ENSMUSG00000067071	93309634	93309799	-	upstream	-10673	10208	NearestLocation
X0059.ENSMUSG00000026494	chr1	180609026	180609424	399	*	0059	ENSMUSG00000026494	180459256	180459756	+	downstream	149969	149270	NearestLocation
X0060.ENSMUSG00000042066	chr1	134256671	134258052	1382	*	0060	ENSMUSG00000042066	134287554	134287858	-	downstream	30496	29502	NearestLocation
X0061.ENSMUSG00000079610	chr1	36608628	36610026	1399	*	0061	ENSMUSG00000079610	36603931	36604046	-	upstream	-5281	4582	NearestLocation
X0062.ENSMUSG00000026273	chr1	95178933	95180077	1145	*	0062	ENSMUSG00000026273	95202402	95202440	-	downstream	22935	22325	NearestLocation
X0063.ENSMUSG00000044055	chr1	94632762	94633595	834	*	0063	ENSMUSG00000044055	94545328	94545418	-	upstream	-87760	87344	NearestLocation
X0064.ENSMUSG00000026603	chr1	191664412	191665222	811	*	0064	ENSMUSG00000026603	191745986	191746242	-	downstream	81425	80764	NearestLocation
X0065.ENSMUSG00000039349	chr1	186735885	186736549	665	*	0065	ENSMUSG00000039349	186706565	186707097	-	upstream	-29120	28788	NearestLocation
X0066.ENSMUSG00000049515	chr1	93221452	93222110	659	*	0066	ENSMUSG00000049515	93218652	93219003	+	downstream	3129	2449	NearestLocation
X0067.ENSMUSG00000032714	chr10	78051502	78052603	1102	*	0067	ENSMUSG00000032714	78054547	78054709	-	downstream	2657	1944	NearestLocation
X0068.ENSMUSG00000044312	chr10	61591880	61592484	605	*	0068	ENSMUSG00000044312	61595838	61596075	+	upstream	-3656	3354	NearestLocation
X0069.ENSMUSG00000003341	chr10	80005189	80005887	699	*	0069	ENSMUSG00000003341	80001761	80001869	-	upstream	-3669	3320	NearestLocation
X0070.ENSMUSG00000020211	chr10	80251200	80251749	550	*	0070	ENSMUSG00000020211	80260943	80261550	+	upstream	-9469	9194	NearestLocation
X0071.ENSMUSG00000020087	chr10	61162071	61162721	651	*	0071	ENSMUSG00000020087	61158262	61159490	+	downstream	4134	2581	NearestLocation
X0072.ENSMUSG00000035745	chr10	79435319	79436316	998	*	0072	ENSMUSG00000035745	79433460	79434070	+	downstream	2358	1249	NearestLocation
X0073.ENSMUSG00000019564	chr10	79393127	79394044	918	*	0073	ENSMUSG00000019564	79389788	79390001	+	downstream	3798	3126	NearestLocation
X0074.ENSMUSG00000020020	chr10	93308771	93309488	718	*	0074	ENSMUSG00000020020	93294300	93294384	+	downstream	14830	14387	NearestLocation
X0075.ENSMUSG00000040249	chr10	127003487	127004011	525	*	0075	ENSMUSG00000040249	126986964	126986973	-	upstream	-16776	16514	NearestLocation
X0076.ENSMUSG00000035206	chr10	80326382	80328589	2208	*	0076	ENSMUSG00000035206	80318020	80318133	+	downstream	9466	8249	NearestLocation
X0077.ENSMUSG00000048696	chr10	79843648	79844401	754	*	0077	ENSMUSG00000048696	79849406	79850404	-	downstream	6380	5005	NearestLocation
X0078.ENSMUSG00000020284	chr10	77444136	77444708	573	*	0078	ENSMUSG00000020284	77441269	77441526	+	downstream	3153	2610	NearestLocation
X0079.ENSMUSG00000091854	chr10	79002974	79003650	677	*	0079	ENSMUSG00000091854	79004259	79004705	-	downstream	1393	609	NearestLocation
X0080.ENSMUSG00000063457	chr10	79741524	79742328	805	*	0080	ENSMUSG00000063457	79755176	79755228	+	upstream	-13250	12848	NearestLocation
X0081.ENSMUSG00000035011	chr10	80612188	80613201	1014	*	0081	ENSMUSG00000035011	80597965	80598336	+	downstream	14729	13852	NearestLocation
X0082.ENSMUSG00000034881	chr10	80794860	80796030	1171	*	0082	ENSMUSG00000034881	80791477	80791662	+	downstream	3968	3198	NearestLocation
X0083.ENSMUSG00000004937	chr10	80513542	80514112	571	*	0083	ENSMUSG00000004937	80522873	80522923	-	downstream	9096	8761	NearestLocation
X0084.ENSMUSG00000046822	chr10	80508811	80509411	601	*	0084	ENSMUSG00000046822	80499949	80500171	-	upstream	-8940	8640	NearestLocation
X0085.ENSMUSG00000063986	chr10	84306684	84307261	578	*	0085	ENSMUSG00000063986	84256895	84257452	-	upstream	-49520	49232	NearestLocation
X0086.ENSMUSG00000025409	chr10	126715019	126715701	683	*	0086	ENSMUSG00000025409	126720582	126720724	-	downstream	5364	4881	NearestLocation
X0087.ENSMUSG00000059901	chr10	60733645	60734020	376	*	0087	ENSMUSG00000059901	60735904	60736186	-	downstream	2354	1884	NearestLocation
X0088.ENSMUSG00000020062	chr10	88348571	88349426	856	*	0088	ENSMUSG00000020062	88348737	88349402	+	includeFeature	261	24	NearestLocation
X0089.ENSMUSG00000090841	chr10	127924220	127924770	551	*	0089	ENSMUSG00000090841	127930865	127930931	-	downstream	6436	6095	NearestLocation
X0090.ENSMUSG00000034771	chr10	81049414	81050159	746	*	0090	ENSMUSG00000034771	81037479	81037693	+	downstream	12307	11721	NearestLocation
X0091.ENSMUSG00000038248	chr10	42742062	42742572	511	*	0091	ENSMUSG00000038248	42893782	42894336	-	downstream	152019	151210	NearestLocation
X0092.ENSMUSG00000006342	chr10	75119397	75120102	706	*	0092	ENSMUSG00000006342	75106619	75106753	-	upstream	-12997	12644	NearestLocation
X0093.ENSMUSG00000020196	chr10	75180035	75180528	494	*	0093	ENSMUSG00000020196	75226770	75227102	-	downstream	46820	46242	NearestLocation
X0094.ENSMUSG00000020020	chr10	93257740	93258203	464	*	0094	ENSMUSG00000020020	93294300	93294384	+	upstream	-36328	36097	NearestLocation
X0095.ENSMUSG00000038160	chr10	43868232	43868811	580	*	0095	ENSMUSG00000038160	43988164	43988390	+	upstream	-119642	119353	NearestLocation
X0096.ENSMUSG00000035242	chr10	80296967	80298899	1933	*	0096	ENSMUSG00000035242	80289401	80289650	+	downstream	8532	7317	NearestLocation
X0097.ENSMUSG00000035745	chr10	79438230	79441058	2829	*	0097	ENSMUSG00000035745	79433460	79434070	+	downstream	6184	4160	NearestLocation
X0098.ENSMUSG00000020153	chr10	79703443	79704419	977	*	0098	ENSMUSG00000020153	79711866	79711949	+	upstream	-7935	7447	NearestLocation
X0099.ENSMUSG00000054708	chr10	81097353	81098048	696	*	0099	ENSMUSG00000054708	81096444	81096500	+	downstream	1256	853	NearestLocation
X0100.ENSMUSG00000019797	chr10	43252799	43253237	439	*	0100	ENSMUSG00000019797	43260746	43260800	-	downstream	7782	7509	NearestLocation
X0101.ENSMUSG00000035206	chr10	80324673	80325272	600	*	0101	ENSMUSG00000035206	80318020	80318133	+	downstream	6952	6540	NearestLocation
X0102.ENSMUSG00000035011	chr10	80610455	80611826	1372	*	0102	ENSMUSG00000035011	80597965	80598336	+	downstream	13175	12119	NearestLocation
X0103.ENSMUSG00000051354	chr10	25999706	26000260	555	*	0103	ENSMUSG00000051354	25949513	25949620	+	downstream	50470	50086	NearestLocation
X0104.ENSMUSG00000061780	chr10	79353959	79354721	763	*	0104	ENSMUSG00000061780	79353598	79353725	+	downstream	742	234	NearestLocation
X0105.ENSMUSG00000003344	chr10	80107315	80107703	389	*	0105	ENSMUSG00000003344	80118875	80119816	-	downstream	12307	11172	NearestLocation
X0106.ENSMUSG00000020190	chr10	80128522	80130172	1651	*	0106	ENSMUSG00000020190	80134673	80134721	-	downstream	5374	4501	NearestLocation
X0107.ENSMUSG00000020277	chr10	77457841	77458313	473	*	0107	ENSMUSG00000020277	77472344	77472552	-	downstream	14475	14031	NearestLocation
X0108.ENSMUSG00000035206	chr10	80329039	80329838	800	*	0108	ENSMUSG00000035206	80318020	80318133	+	downstream	11418	10906	NearestLocation
X0109.ENSMUSG00000020038	chr10	84627620	84628087	468	*	0109	ENSMUSG00000020038	84647059	84647799	-	downstream	19945	18972	NearestLocation
X0110.ENSMUSG00000035835	chr10	79327566	79330478	2913	*	0110	ENSMUSG00000035835	79336765	79337315	-	downstream	8293	6287	NearestLocation
X0111.ENSMUSG00000004207	chr10	59765326	59766659	1334	*	0111	ENSMUSG00000004207	59740375	59740530	+	downstream	25617	24796	NearestLocation
X0112.ENSMUSG00000061488	chr10	60783661	60784323	663	*	0112	ENSMUSG00000061488	60772569	60773065	+	downstream	11423	10596	NearestLocation
X0113.ENSMUSG00000043670	chr10	80493383	80494638	1256	*	0113	ENSMUSG00000043670	80488084	80488154	-	upstream	-5856	5229	NearestLocation
X0114.ENSMUSG00000020260	chr10	76728126	76728812	687	*	0114	ENSMUSG00000020260	76722045	76722198	+	downstream	6424	5928	NearestLocation
X0115.ENSMUSG00000020211	chr10	80240730	80241291	562	*	0115	ENSMUSG00000020211	80260943	80261550	+	upstream	-19933	19652	NearestLocation
X0116.ENSMUSG00000034949	chr10	80704586	80705237	652	*	0116	ENSMUSG00000034949	80695921	80695987	+	downstream	8991	8599	NearestLocation
X0117.ENSMUSG00000033427	chr10	74869319	74870200	882	*	0117	ENSMUSG00000033427	74869656	74869904	+	includeFeature	104	296	NearestLocation
X0118.ENSMUSG00000075003	chr10	66481598	66482001	404	*	0118	ENSMUSG00000075003	66558877	66559470	+	upstream	-77077	76876	NearestLocation
X0119.ENSMUSG00000020101	chr10	59811162	59811699	538	*	0119	ENSMUSG00000020101	59809599	59809851	+	downstream	1831	1311	NearestLocation
X0120.ENSMUSG00000020238	chr10	80952276	80953840	1565	*	0120	ENSMUSG00000020238	80958825	80959137	-	downstream	6079	4985	NearestLocation
X0121.ENSMUSG00000013858	chr10	79441113	79442441	1329	*	0121	ENSMUSG00000013858	79446655	79447075	-	downstream	5298	4214	NearestLocation
X0122.ENSMUSG00000040345	chr10	126768224	126768974	751	*	0122	ENSMUSG00000040345	126759172	126759487	+	downstream	9427	8737	NearestLocation
X0123.ENSMUSG00000090439	chr10	59901433	59901942	510	*	0123	ENSMUSG00000090439	59862474	59862724	+	downstream	39214	38709	NearestLocation
X0124.ENSMUSG00000020101	chr10	59776770	59777551	782	*	0124	ENSMUSG00000020101	59809599	59809851	+	upstream	-32439	32048	NearestLocation
X0125.ENSMUSG00000040249	chr10	127030468	127031248	781	*	0125	ENSMUSG00000040249	126986964	126986973	-	upstream	-43885	43495	NearestLocation
X0126.ENSMUSG00000020023	chr10	93774505	93775133	629	*	0126	ENSMUSG00000020023	93774769	93774947	+	includeFeature	50	186	NearestLocation
X0127.ENSMUSG00000015312	chr10	80398430	80399361	932	*	0127	ENSMUSG00000015312	80392836	80393104	+	downstream	6060	5326	NearestLocation
X0128.ENSMUSG00000037247	chr10	60428135	60428587	453	*	0128	ENSMUSG00000037247	60400678	60400880	-	upstream	-27481	27255	NearestLocation
X0129.ENSMUSG00000020284	chr10	77445306	77446126	821	*	0129	ENSMUSG00000020284	77441269	77441526	+	downstream	4447	3780	NearestLocation
X0130.ENSMUSG00000020163	chr10	79879605	79880521	917	*	0130	ENSMUSG00000020163	79869441	79869575	-	upstream	-10488	10030	NearestLocation
X0131.ENSMUSG00000019848	chr10	44877770	44878503	734	*	0131	ENSMUSG00000019848	44897904	44897998	+	upstream	-19768	19401	NearestLocation
X0132.ENSMUSG00000003344	chr10	80102053	80103445	1393	*	0132	ENSMUSG00000003344	80118875	80119816	-	downstream	17067	15430	NearestLocation
X0133.ENSMUSG00000020133	chr10	79784068	79785151	1084	*	0133	ENSMUSG00000020133	79782928	79783282	-	upstream	-1328	786	NearestLocation
X0134.ENSMUSG00000020196	chr10	75175820	75176578	759	*	0134	ENSMUSG00000020196	75226770	75227102	-	downstream	50903	50192	NearestLocation
X0135.ENSMUSG00000058537	chr10	57687138	57687594	457	*	0135	ENSMUSG00000058537	57686979	57688454	-	inside	1088	159	NearestLocation
X0136.ENSMUSG00000035640	chr10	79595797	79596417	621	*	0136	ENSMUSG00000035640	79601831	79602110	-	downstream	6003	5414	NearestLocation
X0137.ENSMUSG00000025409	chr10	126722493	126723401	909	*	0137	ENSMUSG00000025409	126720582	126720724	-	upstream	-2223	1769	NearestLocation
X0138.ENSMUSG00000019866	chr10	43723421	43724256	836	*	0138	ENSMUSG00000019866	43723234	43724652	-	inside	814	187	NearestLocation
X0139.ENSMUSG00000020190	chr10	80132199	80133184	986	*	0139	ENSMUSG00000020190	80134673	80134721	-	downstream	2029	1489	NearestLocation
X0140.ENSMUSG00000059406	chr10	80329970	80331829	1860	*	0140	ENSMUSG00000059406	80342465	80342708	+	upstream	-11565	10636	NearestLocation
X0141.ENSMUSG00000034818	chr10	80917775	80918899	1125	*	0141	ENSMUSG00000034818	80945206	80945454	-	downstream	27117	26307	NearestLocation
X0142.ENSMUSG00000020133	chr10	79773400	79780162	6763	*	0142	ENSMUSG00000020133	79782928	79783282	-	downstream	6501	2766	NearestLocation
X0143.ENSMUSG00000037031	chr10	61653555	61654598	1044	*	0143	ENSMUSG00000037031	61693768	61693974	-	downstream	39898	39170	NearestLocation
X0144.ENSMUSG00000075003	chr10	66501513	66502189	677	*	0144	ENSMUSG00000075003	66558877	66559470	+	upstream	-57026	56688	NearestLocation
X0145.ENSMUSG00000048696	chr10	79844460	79845445	986	*	0145	ENSMUSG00000048696	79849406	79850404	-	downstream	5452	3961	NearestLocation
X0146.ENSMUSG00000001151	chr10	75842581	75843242	662	*	0146	ENSMUSG00000001151	75905310	75905657	-	downstream	62745	62068	NearestLocation
X0147.ENSMUSG00000034949	chr10	80702095	80703348	1254	*	0147	ENSMUSG00000034949	80695921	80695987	+	downstream	6801	6108	NearestLocation
X0148.ENSMUSG00000045912	chr10	79074781	79076133	1353	*	0148	ENSMUSG00000045912	79076502	79076763	-	downstream	1306	369	NearestLocation
X0149.ENSMUSG00000001435	chr10	76575922	76576899	978	*	0149	ENSMUSG00000001435	76629184	76629293	-	downstream	52883	52285	NearestLocation
X0150.ENSMUSG00000019872	chr10	57514317	57514957	641	*	0150	ENSMUSG00000019872	57514141	57514215	+	downstream	496	102	NearestLocation
X0151.ENSMUSG00000037247	chr10	60394560	60395191	632	*	0151	ENSMUSG00000037247	60400678	60400880	-	downstream	6004	5487	NearestLocation
X0152.ENSMUSG00000020196	chr10	75171996	75172562	567	*	0152	ENSMUSG00000020196	75226770	75227102	-	downstream	54823	54208	NearestLocation
X0153.ENSMUSG00000020325	chr10	79240559	79241995	1437	*	0153	ENSMUSG00000020325	79240017	79240142	+	downstream	1260	417	NearestLocation
X0154.ENSMUSG00000035640	chr10	79590749	79591584	836	*	0154	ENSMUSG00000035640	79601831	79602110	-	downstream	10944	10247	NearestLocation
X0155.ENSMUSG00000061488	chr10	60804951	60805918	968	*	0155	ENSMUSG00000061488	60772569	60773065	+	downstream	32865	31886	NearestLocation
X0156.ENSMUSG00000019797	chr10	43229855	43232036	2182	*	0156	ENSMUSG00000019797	43260746	43260800	-	downstream	29854	28710	NearestLocation
X0157.ENSMUSG00000035478	chr10	79857563	79858360	798	*	0157	ENSMUSG00000035478	79857809	79857915	-	includeFeature	-47	246	NearestLocation
X0158.ENSMUSG00000003341	chr10	80008999	80009696	698	*	0158	ENSMUSG00000003341	80001761	80001869	-	upstream	-7479	7130	NearestLocation
X0159.ENSMUSG00000020263	chr10	83086775	83087217	443	*	0159	ENSMUSG00000020263	83071682	83071753	-	upstream	-15243	15022	NearestLocation
X0160.ENSMUSG00000035640	chr10	79599633	79600327	695	*	0160	ENSMUSG00000035640	79601831	79602110	-	downstream	2130	1504	NearestLocation
X0161.ENSMUSG00000062866	chr10	13193437	13193910	474	*	0161	ENSMUSG00000062866	13193862	13194202	-	overlapEnd	528	48	NearestLocation
X0162.ENSMUSG00000090841	chr10	127924908	127925629	722	*	0162	ENSMUSG00000090841	127930865	127930931	-	downstream	5663	5236	NearestLocation
X0163.ENSMUSG00000020167	chr10	79883162	79884172	1011	*	0163	ENSMUSG00000020167	79896065	79896382	-	downstream	12715	11893	NearestLocation
X0164.ENSMUSG00000078441	chr10	80068700	80070646	1947	*	0164	ENSMUSG00000078441	80065627	80065694	+	downstream	4046	3006	NearestLocation
X0165.ENSMUSG00000009293	chr10	77126590	77127432	843	*	0165	ENSMUSG00000009293	77085068	77085161	+	downstream	41943	41429	NearestLocation
X0166.ENSMUSG00000019790	chr10	9620085	9620641	557	*	0166	ENSMUSG00000019790	9620329	9620481	-	includeFeature	118	160	NearestLocation
X0167.ENSMUSG00000020153	chr10	79717274	79718171	898	*	0167	ENSMUSG00000020153	79711866	79711949	+	downstream	5856	5325	NearestLocation
X0168.ENSMUSG00000090439	chr10	59895385	59895996	612	*	0168	ENSMUSG00000090439	59862474	59862724	+	downstream	33216	32661	NearestLocation
X0169.ENSMUSG00000035640	chr10	79596754	79597453	700	*	0169	ENSMUSG00000035640	79601831	79602110	-	downstream	5006	4378	NearestLocation
X0170.ENSMUSG00000020190	chr10	80136580	80137386	807	*	0170	ENSMUSG00000020190	80134673	80134721	-	upstream	-2262	1859	NearestLocation
X0171.ENSMUSG00000035754	chr10	79413306	79413944	639	*	0171	ENSMUSG00000035754	79422897	79423117	+	upstream	-9272	8953	NearestLocation
X0172.ENSMUSG00000034889	chr10	80775082	80777005	1924	*	0172	ENSMUSG00000034889	80783848	80784191	+	upstream	-7804	6843	NearestLocation
X0173.ENSMUSG00000004929	chr10	80543545	80545080	1536	*	0173	ENSMUSG00000004929	80532780	80533023	+	downstream	11532	10522	NearestLocation
X0174.ENSMUSG00000004931	chr10	80733582	80734516	935	*	0174	ENSMUSG00000004931	80730917	80731064	+	downstream	3132	2518	NearestLocation
X0175.ENSMUSG00000020308	chr10	79137796	79138994	1199	*	0175	ENSMUSG00000020308	79132155	79132528	+	downstream	6240	5268	NearestLocation
X0176.ENSMUSG00000020219	chr10	80359077	80361170	2094	*	0176	ENSMUSG00000020219	80363369	80363714	-	downstream	3590	2199	NearestLocation
X0177.ENSMUSG00000058806	chr10	61328911	61329358	448	*	0177	ENSMUSG00000058806	61329139	61329161	-	includeFeature	27	197	NearestLocation
X0178.ENSMUSG00000035640	chr10	79593354	79595157	1804	*	0178	ENSMUSG00000035640	79601831	79602110	-	downstream	7854	6674	NearestLocation
X0179.ENSMUSG00000039232	chr10	12684051	12684637	587	*	0179	ENSMUSG00000039232	12683806	12684065	-	overlapStart	-279	14	NearestLocation
X0180.ENSMUSG00000038248	chr10	42740720	42741154	435	*	0180	ENSMUSG00000038248	42893782	42894336	-	downstream	153399	152628	NearestLocation
X0181.ENSMUSG00000040009	chr10	74441566	74442152	587	*	0181	ENSMUSG00000040009	74429922	74430127	+	downstream	11937	11439	NearestLocation
X0182.ENSMUSG00000001151	chr10	75898949	75899558	610	*	0182	ENSMUSG00000001151	75905310	75905657	-	downstream	6403	5752	NearestLocation
X0183.ENSMUSG00000057337	chr10	59648067	59649614	1548	*	0183	ENSMUSG00000057337	59681652	59682008	-	downstream	33168	32038	NearestLocation
X0184.ENSMUSG00000019947	chr10	67599213	67599746	534	*	0184	ENSMUSG00000019947	67741438	67741474	-	downstream	141994	141692	NearestLocation
X0185.ENSMUSG00000061780	chr10	79359090	79360044	955	*	0185	ENSMUSG00000061780	79353598	79353725	+	downstream	5969	5365	NearestLocation
X0186.ENSMUSG00000003344	chr10	80105443	80107079	1637	*	0186	ENSMUSG00000003344	80118875	80119816	-	downstream	13555	11796	NearestLocation
